Funcao;Orgao;Subfuncao;"Valor Empenhado";"Valor Liquidado";"Valor Pago"
ADMINISTRACAO;"SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL";"ADMINISTRACAO GERAL";46.589.418,72;45.786.592,33;43.685.452,64
ADMINISTRACAO;"FUNDACAO EDUCACIONAL CAIO MARTINS";"ADMINISTRACAO GERAL";1.838.706,80;1.825.502,95;1.772.221,28
ADMINISTRACAO;"SECRETARIA DE ESTADO DE FAZENDA";"ADMINISTRACAO GERAL";80.663.408,95;80.211.880,77;80.002.626,36
ADMINISTRACAO;"LOTERIA DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";1.067.043,64;1.054.077,98;1.049.701,99
ADMINISTRACAO;"AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DO VALE DO ACO";"ADMINISTRACAO GERAL";724.335,67;724.335,67;724.335,67
ADMINISTRACAO;"EMPRESA MINEIRA DE COMUNICACAO";"ADMINISTRACAO GERAL";2.707.087,52;2.707.087,52;2.707.087,52
LEGISLATIVA;"INSTITUTO DE PREVIDENCIA DO LEGISLATIVO DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";4.026.685,52;4.026.685,52;4.026.685,52
"SEGURANCA PUBLICA";"POLICIA MILITAR DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";208.021.150,15;207.320.780,65;205.591.128,40
"ASSISTENCIA SOCIAL";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"ASSISTENCIA COMUNITARIA";433.790.824,74;427.651.981,52;430.765.581,52
AGRICULTURA;"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO - SEAPA";ABASTECIMENTO;1.643.514,12;1.170.617,12;1.170.617,12
JUDICIARIA;"FUNDO ESPECIAL DO PODER JUDICIARIO DO ESTADO DE MINAS GERAIS";"FORMACAO DE RECURSOS HUMANOS";1.314.343,43;1.267.485,65;1.325.178,48
ADMINISTRACAO;"EGE-SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO";"PREVIDENCIA ESPECIAL";193.181.032,76;193.181.032,76;193.181.032,76
"GESTAO AMBIENTAL";"FUNDACAO ESTADUAL DO MEIO AMBIENTE";"PRESERVACAO E CONSERVACAO AMBIENTAL";5.802.335,80;5.283.362,78;5.196.443,83
URBANISMO;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";"SERVICOS URBANOS";458.918,56;457.918,56;457.918,56
"DIREITOS DA CIDADANIA";"OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS";"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS";7.711.267,94;7.698.144,39;7.636.354,77
SAUDE;"FUNDO ESTADUAL DE SAUDE";"SUPORTE PROFILATICO E TERAPEUTICO";1.180.156.812,64;1.127.096.387,08;1.119.676.114,16
"GESTAO AMBIENTAL";"INSTITUTO ESTADUAL DE FLORESTAS";"RECUPERACAO DE AREAS DEGRADADAS";7.753.737,86;7.688.899,29;7.241.115,91
SAUDE;"FUNDO ESTADUAL DE SAUDE";"VIGILANCIA SANITARIA";39.045.151,70;38.199.794,91;38.095.775,39
"SEGURANCA PUBLICA";"GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS";"TRANSPORTE AEREO";10.324.672,72;6.572.671,05;5.556.902,45
"ENCARGOS ESPECIAIS";"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";13.378,67;13.378,67;13.378,67
"ENCARGOS ESPECIAIS";"INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";98.584.680,77;98.544.072,94;77.237.405,23
"ENCARGOS ESPECIAIS";"FUNDACAO TV MINAS CULTURAL E EDUCATIVA";"OUTROS ENCARGOS ESPECIAIS";2.284,31;2.284,31;148,57
"SEGURANCA PUBLICA";"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"INFORMACAO E INTELIGENCIA";20.430.043,40;18.649.294,19;18.478.165,14
URBANISMO;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";"ORDENAMENTO TERRITORIAL";762.725,99;760.525,26;760.525,26
URBANISMO;"AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DO VALE DO ACO";"ORDENAMENTO TERRITORIAL";909.297,99;824.830,18;805.489,02
"COMERCIO E SERVICOS";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";"COMERCIO EXTERIOR";406.525,28;403.934,75;403.934,75
"PREVIDENCIA SOCIAL";"DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";107.049.561,23;107.049.561,23;107.174.828,38
SAUDE;"FUNDO ESTADUAL DE SAUDE";"ASSISTENCIA HOSPITALAR E AMBULATORIAL";4.011.120.963,92;3.868.899.805,82;3.656.983.155,36
AGRICULTURA;"EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS";"DIFUSAO DO CONHECIMENTO CIENTIFICO E TECNOLOGICO";2.064.734,86;2.064.734,86;2.064.734,86
TRANSPORTE;"FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES";"OUTRAS TRANSFERENCIAS";5.605.993,17;5.547.683,63;5.547.683,63
SAUDE;"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"ATENCAO BASICA";20.864.323,33;12.287.093,72;11.868.503,14
CULTURA;"SECRETARIA DE ESTADO DE CULTURA E TURISMO";"DIFUSAO CULTURAL";182.069.246,34;94.966.277,88;55.192.869,12
SAUDE;"FUNDO ESTADUAL DE SAUDE";"FORMACAO DE RECURSOS HUMANOS";13.068.293,84;13.068.293,84;13.068.293,84
TRANSPORTE;"FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES";"ADMINISTRACAO DE RECEITAS";10.296.697,97;8.442.791,88;8.347.032,87
"GESTAO AMBIENTAL";"INSTITUTO ESTADUAL DE FLORESTAS";"PRESERVACAO E CONSERVACAO AMBIENTAL";53.580.878,93;51.148.459,40;43.222.432,86
"SEGURANCA PUBLICA";"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS";26.452.768,79;24.392.763,01;24.216.869,92
"COMERCIO E SERVICOS";"LOTERIA DO ESTADO DE MINAS GERAIS";COMERCIALIZACAO;3.432.574,53;1.474.742,90;1.439.267,11
EDUCACAO;"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"EDUCACAO BASICA";4.614.284,06;4.432.548,11;4.381.019,25
"ENCARGOS ESPECIAIS";"FUNDACAO ESTADUAL DO MEIO AMBIENTE";"OUTROS ENCARGOS ESPECIAIS";10.252.439,50;10.252.439,50;9.966.037,25
"ENCARGOS ESPECIAIS";"INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";20.241.962,90;20.035.234,91;12.363.214,56
SANEAMENTO;"AGENCIA REGULADORA DE SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO DO ESTADO DE MINA";"NORMATIZACAO E FISCALIZACAO";7.532.454,97;6.791.393,46;6.779.656,75
"PREVIDENCIA SOCIAL";"TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";16.178.304,04;16.178.304,04;16.178.304,04
"PREVIDENCIA SOCIAL";"FUNDO DE ASSISTENCIA AO PECULIO DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";70.151.412,49;70.151.412,49;32.889.161,63
"COMERCIO E SERVICOS";"PARTICIPACAO NO AUMENTO DO CAPITAL SOCIAL DE EMPRESAS";"SERVICOS FINANCEIROS";105.746.032,50;105.737.907,80;105.737.907,80
ADMINISTRACAO;"INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";6.988.406,93;6.676.128,31;6.004.572,17
LEGISLATIVA;"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";45.247.394,82;37.541.751,24;32.369.462,53
CULTURA;"FUNDO ESTADUAL DE CULTURA";"DIFUSAO CULTURAL";3.239.517,71;2.743.097,13;2.314.282,11
EDUCACAO;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";"ENSINO SUPERIOR";164.382.392,02;162.414.885,28;158.941.677,75
SAUDE;"INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"ENSINO PROFISSIONAL";9.123.592,80;9.024.542,80;9.024.542,80
EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"ENSINO PROFISSIONAL";34.102.025,39;33.471.890,80;33.393.959,26
"RELACOES EXTERIORES";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";"COOPERACAO INTERNACIONAL";438.119,71;436.399,02;436.399,02
"COMERCIO E SERVICOS";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";"PROMOCAO COMERCIAL";2.872.143,61;2.854.193,15;2.847.659,32
ENERGIA;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";BIOCOMBUSTIVEIS;524.890,94;524.890,94;524.890,94
"ENCARGOS ESPECIAIS";"FUNDACAO CLOVIS SALGADO";"OUTROS ENCARGOS ESPECIAIS";2.550.806,57;197.978,17;134.837,80
"ENCARGOS ESPECIAIS";"INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";83.334,71;83.334,71;82.268,78
URBANISMO;"FUNDO DE DESENVOLVIMENTO METROPOLITANO";"ORDENAMENTO TERRITORIAL";181.355,72;132.348,53;129.039,82
"COMERCIO E SERVICOS";"INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS";"NORMATIZACAO E FISCALIZACAO";12.929.573,08;12.316.545,20;12.018.766,63
"PREVIDENCIA SOCIAL";"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";269.613.434,05;269.613.434,05;269.613.434,05
ADMINISTRACAO;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";"ADMINISTRACAO GERAL";16.624.025,51;14.821.309,95;12.870.757,82
"COMERCIO E SERVICOS";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";509.277,15;509.277,15;509.277,15
"ENCARGOS ESPECIAIS";"EGE SEC.FAZENDA-ENCARGOS DIVERSOS";"OUTRAS TRANSFERENCIAS";16.245.275.479,38;16.220.376.649,98;15.992.749.180,38
SAUDE;"FUNDO ESTADUAL DE SAUDE";"ATENCAO BASICA";928.459.461,79;772.511.524,03;608.770.305,67
"GESTAO AMBIENTAL";"INSTITUTO MINEIRO DE GESTAO DAS AGUAS";"RECURSOS HIDRICOS";158.274.599,93;156.651.258,05;113.977.906,83
"SEGURANCA PUBLICA";"FUNDO PENITENCIARIO ESTADUAL";"CUSTODIA E REINTEGRACAO SOCIAL";4.941.927,86;247.500,00;247.500,00
"ESSENCIAL A JUSTICA";"PROCURADORIA GERAL DE JUSTICA";"DEFESA DO INTERESSE PUBLICO NO PROCESSO JUDICIARIO";771.552.502,92;731.528.093,91;731.423.602,77
EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"EDUCACAO ESPECIAL";1.110.170.985,25;1.110.158.196,75;1.110.140.274,00
TRABALHO;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"ENSINO PROFISSIONAL";1.196.585,76;1.193.810,58;1.185.200,43
"GESTAO AMBIENTAL";"FUNDO DE RECUPERACAO, PROTECAO E DESENVOLVIMENTO SUSTENTAVEL DAS BACIAS HIDROGRAFICAS DO ESTADO DE M";"PRESERVACAO E CONSERVACAO AMBIENTAL";8.871,69;8.871,69;8.871,69
"SEGURANCA PUBLICA";"GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS";"TRANSPORTE RODOVIARIO";657.602,26;652.107,16;605.530,95
SAUDE;"FUNDO ESTADUAL DE SAUDE";"INFRA-ESTRUTURA URBANA";34.795,42;34.795,42;34.795,42
AGRICULTURA;"EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS";"PROMOCAO DA PRODUCAO AGROPECUARIA";8.722.424,99;8.722.424,99;8.722.424,99
"ENCARGOS ESPECIAIS";"INSTITUTO ESTADUAL DO PATRIMONIO HISTORICO E ARTISTICO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";331.754,47;331.754,47;277.678,56
"SEGURANCA PUBLICA";"POLICIA MILITAR DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";6.098.538.485,50;6.098.538.485,50;6.098.538.485,50
SAUDE;"FUNDO DE APOIO HABITACIONAL DA ASSEMBLEIA LEGISLATIVA DE MINAS GERAIS";"ASSISTENCIA HOSPITALAR E AMBULATORIAL";39.238.053,75;39.238.053,75;38.884.911,25
"SEGURANCA PUBLICA";"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"ASSISTENCIA HOSPITALAR E AMBULATORIAL";14.676.210,88;14.370.983,93;14.289.744,25
ADMINISTRACAO;"GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";8.265.934,10;7.994.700,75;7.138.142,95
ADMINISTRACAO;"INSTITUTO ESTADUAL DE FLORESTAS";"ADMINISTRACAO GERAL";75.609.323,20;74.496.871,58;73.314.944,14
SAUDE;"ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";2.981.633,66;2.939.920,58;2.937.290,17
"SEGURANCA PUBLICA";"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";1.446.308,40;1.446.308,40;1.446.308,40
INDUSTRIA;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";MINERACAO;1.309.510,36;1.307.360,94;1.307.560,94
"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"CUSTODIA E REINTEGRACAO SOCIAL";2.010.135.567,70;1.911.579.622,46;1.905.055.638,68
"ESSENCIAL A JUSTICA";"DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS";"FORMACAO DE RECURSOS HUMANOS";329.786,71;222.368,68;220.435,54
EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"ALIMENTACAO E NUTRICAO";322.340.488,31;258.820.823,63;254.921.299,71
"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"ENSINO PROFISSIONAL";152.736,99;4.736,99;5.513,75
AGRICULTURA;"EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS";"DESENVOLVIMENTO CIENTIFICO";12.526.280,33;12.526.280,33;12.526.280,33
SAUDE;"FUNDACAO EZEQUIEL DIAS";"DESENVOLVIMENTO CIENTIFICO";19.161.436,11;13.860.787,80;13.449.908,48
SAUDE;"ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS";"DESENVOLVIMENTO CIENTIFICO";425.812,26;416.910,79;416.822,22
EDUCACAO;"FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS";EMPREGABILIDADE;3.065.085,20;3.031.059,44;2.938.016,52
AGRICULTURA;"INSTITUTO MINEIRO DE AGROPECUARIA";"VIGILANCIA SANITARIA";17.427.514,98;16.381.535,95;16.007.658,60
"ENCARGOS ESPECIAIS";"FUNDACAO EZEQUIEL DIAS";"OUTROS ENCARGOS ESPECIAIS";26.492.240,77;26.216.740,74;26.135.456,76
"ENCARGOS ESPECIAIS";"INSTITUTO MINEIRO DE AGROPECUARIA";"OUTROS ENCARGOS ESPECIAIS";2.573.409,83;2.573.409,83;2.315.189,23
"ENCARGOS ESPECIAIS";"INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";51.869,38;51.869,38;46.921,13
"GESTAO AMBIENTAL";"FUNDACAO ESTADUAL DO MEIO AMBIENTE";"CONTROLE AMBIENTAL";197.916,24;194.909,47;195.523,02
"PREVIDENCIA SOCIAL";"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";410.482.959,13;410.482.959,13;410.521.456,93
ADMINISTRACAO;"CONTROLADORIA-GERAL DO ESTADO";"CONTROLE INTERNO";34.612.310,65;34.560.180,79;34.520.582,52
SAUDE;"FUNDACAO EZEQUIEL DIAS";"DIFUSAO DO CONHECIMENTO CIENTIFICO E TECNOLOGICO";2.363.552,30;1.986.132,48;1.925.830,84
AGRICULTURA;"EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS";"EXTENSAO RURAL";297.935.198,31;297.935.198,31;297.935.198,31
TRANSPORTE;"SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE";"TRANSPORTES COLETIVOS URBANOS";2.830.895,77;2.725.537,62;2.639.034,23
EDUCACAO;"FUNDACAO JOAO PINHEIRO";"ENSINO SUPERIOR";10.975.123,45;10.720.231,67;10.553.924,35
ADMINISTRACAO;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"FORMACAO DE RECURSOS HUMANOS";8.176.990,16;8.098.007,88;7.977.061,68
ADMINISTRACAO;"SECRETARIA DE ESTADO DE FAZENDA";"ADMINISTRACAO DE RECEITAS";866.018.172,60;837.033.403,69;835.616.591,33
HABITACAO;"FUNDO DE APOIO HABITACIONAL AOS MILITARES DO ESTADO DE MINAS GERAIS";"HABITACAO URBANA";289.391,18;289.391,18;289.391,18
EDUCACAO;"POLICIA MILITAR DO ESTADO DE MINAS GERAIS";"ENSINO MEDIO";38.306.955,25;38.024.946,06;37.631.613,25
"ASSISTENCIA SOCIAL";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS";1.989.191,69;1.934.405,79;1.875.649,00
SAUDE;"FUNDACAO EZEQUIEL DIAS";"SUPORTE PROFILATICO E TERAPEUTICO";769.939.884,26;485.164.638,95;320.180.507,36
SAUDE;"FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS";"DESENVOLVIMENTO CIENTIFICO";253.000,00;253.000,00;253.000,00
EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"ENSINO FUNDAMENTAL";4.907.735.847,70;4.784.349.401,92;4.729.284.186,35
AGRICULTURA;"INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS";"PROMOCAO DA PRODUCAO AGROPECUARIA";1.509.686,29;723.831,17;709.904,88
ADMINISTRACAO;"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO";"TECNOLOGIA DA INFORMACAO";9.204.751,90;6.907.493,43;6.637.932,07
EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"EDUCACAO BASICA";959.261.958,64;931.232.659,58;923.490.456,93
"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"ASSISTENCIA A CRIANCA E AO ADOLESCENTE";233.174.761,54;228.890.397,24;225.294.758,13
SAUDE;"INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"VIGILANCIA EPIDEMIOLOGICA";3.014.896,37;2.658.970,33;2.658.401,70
"DESPORTO E LAZER";"SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE";"DESPORTO COMUNITARIO";996.005,28;905.820,13;846.981,29
"ENCARGOS ESPECIAIS";"INSTITUTO ESTADUAL DE FLORESTAS";"OUTROS ENCARGOS ESPECIAIS";991.057,77;986.918,56;941.400,91
URBANISMO;"AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE";"ORDENAMENTO TERRITORIAL";2.193.640,24;2.174.910,07;2.174.880,07
"COMERCIO E SERVICOS";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"NORMATIZACAO E FISCALIZACAO";15.059.162,66;13.967.432,62;13.575.940,59
"PREVIDENCIA SOCIAL";"FUNDO FINANCEIRO DE PREVIDENCIA";"PREVIDENCIA DO REGIME ESTATUTARIO";13.695.989.973,65;13.695.810.611,62;13.695.810.611,62
ADMINISTRACAO;"AGENCIA REGULADORA DE SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO DO ESTADO DE MINA";"ADMINISTRACAO GERAL";3.965.485,99;3.905.362,04;3.854.400,16
ADMINISTRACAO;"FUNDACAO CLOVIS SALGADO";"ADMINISTRACAO GERAL";11.140.803,87;10.766.990,35;10.067.031,89
ADMINISTRACAO;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"ADMINISTRACAO GERAL";26.545.734,25;26.274.896,48;25.954.085,56
ADMINISTRACAO;"CONTROLADORIA-GERAL DO ESTADO";"ADMINISTRACAO GERAL";4.767.357,80;4.717.869,50;4.606.203,68
ADMINISTRACAO;"FUNDACAO JOAO PINHEIRO";"ADMINISTRACAO GERAL";12.797.091,16;12.217.517,52;11.914.095,94
SAUDE;"INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";20.054.966,24;15.768.250,51;14.723.248,56
LEGISLATIVA;"FUNDO DO TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";127.000,19;55.000,19;55.000,19
"SEGURANCA PUBLICA";"POLICIA MILITAR DO ESTADO DE MINAS GERAIS";POLICIAMENTO;4.278.216.321,23;4.157.192.013,05;4.078.853.639,04
CULTURA;"FUNDACAO DE ARTE DE OURO PRETO";"PATRIMONIO HISTORICO, ARTISTICO E ARQUEOLOGICO";29.387,86;27.476,06;27.476,06
"SEGURANCA PUBLICA";"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"FORMACAO DE RECURSOS HUMANOS";16.741.530,74;14.979.600,01;13.967.577,78
ADMINISTRACAO;"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO";"PLANEJAMENTO E ORCAMENTO";8.938.880,03;8.381.944,18;8.367.879,53
CULTURA;"FUNDACAO TV MINAS CULTURAL E EDUCATIVA";TELECOMUNICACOES;8.422.543,25;7.883.634,30;7.321.739,93
TRANSPORTE;"PARTICIPACAO NO AUMENTO DO CAPITAL SOCIAL DE EMPRESAS";"TRANSPORTE FERROVIARIO";1.042.618,00;1.042.618,00;1.042.618,00
"CIENCIA E TECNOLOGIA";"EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS";"DESENVOLVIMENTO CIENTIFICO";56.170.559,02;56.170.559,02;56.170.559,02
SAUDE;"FUNDO ESTADUAL DE SAUDE";"VIGILANCIA EPIDEMIOLOGICA";1.193.466.814,95;986.517.161,11;356.310.070,88
"ENCARGOS ESPECIAIS";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";5.354.380,07;5.354.380,07;5.275.549,88
"SEGURANCA PUBLICA";"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"CONTROLE INTERNO";20.337.074,17;20.068.962,01;20.019.412,15
ADMINISTRACAO;"INSTITUTO MINEIRO DE AGROPECUARIA";"ADMINISTRACAO GERAL";127.437.098,87;127.089.489,91;126.807.253,33
ADMINISTRACAO;"AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE";"ADMINISTRACAO GERAL";1.960.667,05;1.914.103,26;1.874.726,69
ADMINISTRACAO;"SECRETARIA DE ESTADO DE GOVERNO";"ADMINISTRACAO GERAL";186.927.998,92;169.827.894,29;167.672.050,88
ADMINISTRACAO;"ADVOCACIA GERAL DO ESTADO";"ADMINISTRACAO GERAL";32.925.948,37;32.635.307,49;31.936.568,44
"ASSISTENCIA SOCIAL";"INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"ASSISTENCIA COMUNITARIA";910.000,00;674.339,47;674.339,47
AGRICULTURA;"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO - SEAPA";"RECURSOS HIDRICOS";10.879.669,58;9.757.784,24;8.584.947,49
"SEGURANCA PUBLICA";"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"CUSTODIA E REINTEGRACAO SOCIAL";2.532.699,64;2.410.287,83;2.388.371,85
ADMINISTRACAO;"FUNDACAO JOAO PINHEIRO";"PLANEJAMENTO E ORCAMENTO";15.565.091,88;15.353.612,90;15.305.242,94
EDUCACAO;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";"ENSINO PROFISSIONAL";9.139.825,99;5.627.907,37;4.756.505,47
CULTURA;"FUNDACAO CLOVIS SALGADO";"ENSINO PROFISSIONAL";4.317.456,59;4.143.708,85;4.143.708,85
HABITACAO;"FUNDO ESTADUAL DE HABITACAO";"HABITACAO URBANA";1.276.176,40;880.542,00;880.542,00
