Funcao;Orgao;Subfuncao;"Valor Empenhado";"Valor Liquidado";"Valor Pago"
"DESPORTO E LAZER";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"DESPORTO COMUNITARIO";18.015.759,37;15.591.662,61;14.568.057,43
"ENCARGOS ESPECIAIS";"FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";19.039.799,51;18.819.438,09;18.693.749,87
"ENCARGOS ESPECIAIS";"FUNDACAO EDUCACIONAL CAIO MARTINS";"OUTROS ENCARGOS ESPECIAIS";0,00;0,00;0,00
"SEGURANCA PUBLICA";"GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS";"INFORMACAO E INTELIGENCIA";1.849.682,15;1.712.925,68;1.485.828,59
"GESTAO AMBIENTAL";"SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL";"CONTROLE AMBIENTAL";67.763.590,10;66.952.571,23;65.795.506,97
SAUDE;"POLICIA MILITAR DO ESTADO DE MINAS GERAIS";"ASSISTENCIA HOSPITALAR E AMBULATORIAL";277.822.355,13;258.948.675,79;254.476.053,62
SAUDE;"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"ASSISTENCIA HOSPITALAR E AMBULATORIAL";19.487.649,12;18.719.224,85;18.631.656,15
"ESSENCIAL A JUSTICA";"PROCURADORIA GERAL DE JUSTICA";"ADMINISTRACAO GERAL";1.001.817.835,11;928.211.517,51;915.746.723,83
"ESSENCIAL A JUSTICA";"FUNDO ESPECIAL DO MINISTERIO PUBLICO DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";30.541.643,57;27.539.480,52;27.498.106,55
ADMINISTRACAO;"EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS";"ADMINISTRACAO GERAL";21.711.305,89;21.711.305,89;21.711.305,89
