Funcao;Orgao;Subfuncao;"Valor Empenhado";"Valor Liquidado";"Valor Pago"
LEGISLATIVA;"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";"ACAO LEGISLATIVA";1.120.890.745,14;1.043.478.940,18;1.037.373.978,61
"ENCARGOS ESPECIAIS";"GESTAO DA DIVIDA PUBLICA ESTADUAL";"SERVICO DA DIVIDA EXTERNA";1.364.666.929,34;1.364.666.929,34;0,00
ADMINISTRACAO;"FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS";"ADMINISTRACAO GERAL";2.868.957,87;2.830.722,70;2.719.570,93
SAUDE;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";113.185.620,01;108.348.682,74;105.489.723,16
ADMINISTRACAO;"SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE";"ADMINISTRACAO DE CONCESSOES";22.037.030,21;5.539.329,87;5.392.412,56
HABITACAO;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"ASSISTENCIA COMUNITARIA";500.000,00;500.000,00;0,00
"SEGURANCA PUBLICA";"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"DEFESA CIVIL";746.432.757,95;699.002.436,97;695.512.349,70
"ESSENCIAL A JUSTICA";"DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS";"REPRESENTACAO JUDICIAL E EXTRAJUDICIAL";464.889.713,42;452.832.767,52;449.189.992,88
EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"ENSINO MEDIO";3.224.638.192,47;2.767.875.657,64;2.748.765.065,36
SANEAMENTO;"INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS";"SANEAMENTO BASICO RURAL";5.969.880,15;3.600.768,14;3.263.754,02
ADMINISTRACAO;SECRETARIA-GERAL;"COMUNICACAO SOCIAL";79.705.377,93;51.046.201,25;50.033.254,94
"SEGURANCA PUBLICA";"FUNDO ESTADUAL DE SEGURANCA PUBLICA DE MINAS GERAIS";"ADMINISTRACAO FINANCEIRA";10.279.535,11;1.942.629,75;1.434.206,83
TRANSPORTE;"SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE";"TRANSPORTE AEREO";15.407.920,04;14.174.333,45;14.174.333,45
"ENCARGOS ESPECIAIS";"INSTITUTO MINEIRO DE GESTAO DAS AGUAS";"OUTROS ENCARGOS ESPECIAIS";35.532,70;35.532,70;30.313,76
"ENCARGOS ESPECIAIS";"ADVOCACIA GERAL DO ESTADO";"OUTROS ENCARGOS ESPECIAIS";177.343.695,93;177.047.749,71;148.494.540,33
"GESTAO AMBIENTAL";"INSTITUTO MINEIRO DE GESTAO DAS AGUAS";"CONTROLE AMBIENTAL";54.316,95;54.316,95;53.295,26
"ESSENCIAL A JUSTICA";"FUNDO ESTADUAL DE PROTECAO E DEFESA DO CONSUMIDOR";"ACAO JUDICIARIA";9.997.634,87;6.867.276,92;6.691.564,31
ADMINISTRACAO;"EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";900.100,22;900.100,22;900.100,22
ADMINISTRACAO;"FUNDACAO DE ARTE DE OURO PRETO";"ADMINISTRACAO GERAL";1.295.622,31;1.289.639,59;1.238.354,95
HABITACAO;"FUNDO ESTADUAL DE HABITACAO";"ADMINISTRACAO GERAL";17.438.203,38;16.786.582,55;16.786.582,55
"PREVIDENCIA SOCIAL";"INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";24.547.437,99;18.308.456,66;18.239.900,17
TRABALHO;"FUNDACAO EDUCACIONAL CAIO MARTINS";"FOMENTO AO TRABALHO";790.775,48;581.609,02;567.565,58
"SEGURANCA PUBLICA";"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";POLICIAMENTO;2.061.063.763,71;2.019.500.753,87;2.007.839.635,06
SAUDE;"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"ATENCAO BASICA";15.429.548,62;15.242.262,52;15.242.262,52
CULTURA;"FUNDACAO CLOVIS SALGADO";"DIFUSAO CULTURAL";22.380.010,73;22.329.214,28;22.323.244,79
