Funcao;Orgao;Subfuncao;"Valor Empenhado";"Valor Liquidado";"Valor Pago"
URBANISMO;"AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DO VALE DO ACO";"ORDENAMENTO TERRITORIAL";1.263.108,33;1.188.911,94;1.176.343,93
"COMERCIO E SERVICOS";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";"COMERCIO EXTERIOR";438.689,99;432.872,72;432.722,72
"PREVIDENCIA SOCIAL";"DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";108.260.523,29;108.260.523,29;108.329.967,80
SAUDE;"FUNDO ESTADUAL DE SAUDE";"ASSISTENCIA HOSPITALAR E AMBULATORIAL";5.814.567.091,93;5.500.578.847,24;5.454.057.696,70
AGRICULTURA;"EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS";"DIFUSAO DO CONHECIMENTO CIENTIFICO E TECNOLOGICO";1.947.972,50;1.947.972,50;1.947.972,50
TRANSPORTE;"FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES";"OUTRAS TRANSFERENCIAS";13.441.901,17;13.441.901,17;13.441.901,17
SAUDE;"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"ATENCAO BASICA";10.354.064,98;1.187.640,67;1.143.399,64
CULTURA;"SECRETARIA DE ESTADO DE CULTURA E TURISMO";"DIFUSAO CULTURAL";68.504.714,38;66.203.414,61;49.098.276,27
SAUDE;"FUNDO ESTADUAL DE SAUDE";"FORMACAO DE RECURSOS HUMANOS";15.155.579,83;15.155.579,83;15.155.579,83
TRANSPORTE;"FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES";"ADMINISTRACAO DE RECEITAS";35.583.684,14;27.360.016,67;26.948.425,96
"GESTAO AMBIENTAL";"INSTITUTO ESTADUAL DE FLORESTAS";"PRESERVACAO E CONSERVACAO AMBIENTAL";59.253.600,98;55.085.537,33;49.356.204,38
"SEGURANCA PUBLICA";"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS";38.107.704,90;35.613.167,74;35.246.739,41
"COMERCIO E SERVICOS";"LOTERIA DO ESTADO DE MINAS GERAIS";COMERCIALIZACAO;4.658.849,18;3.150.660,73;3.130.208,40
EDUCACAO;"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"EDUCACAO BASICA";5.896.994,06;5.227.155,11;5.062.657,06
"DIREITOS DA CIDADANIA";"FUNDO PARA A INFANCIA E A ADOLESCENCIA";"ASSISTENCIA A CRIANCA E AO ADOLESCENTE";167.117,25;167.117,25;167.117,25
"ENCARGOS ESPECIAIS";"FUNDACAO ESTADUAL DO MEIO AMBIENTE";"OUTROS ENCARGOS ESPECIAIS";6.089.360,43;6.089.360,43;5.761.867,32
"ENCARGOS ESPECIAIS";"INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";16.534.044,83;16.133.379,73;15.313.941,08
SANEAMENTO;"AGENCIA REGULADORA DE SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO DO ESTADO DE MINA";"NORMATIZACAO E FISCALIZACAO";8.960.788,71;7.705.583,40;7.701.498,54
"PREVIDENCIA SOCIAL";"TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";20.173.000,00;20.173.000,00;20.173.000,00
"PREVIDENCIA SOCIAL";"FUNDO DE ASSISTENCIA AO PECULIO DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";115.729.505,03;115.668.003,39;103.394.447,33
"COMERCIO E SERVICOS";"PARTICIPACAO NO AUMENTO DO CAPITAL SOCIAL DE EMPRESAS";"SERVICOS FINANCEIROS";72.935,31;15.535,69;15.535,69
ADMINISTRACAO;"INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";7.929.084,01;7.639.733,15;6.993.537,20
EDUCACAO;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";"ADMINISTRACAO GERAL";19.076.753,84;16.407.079,80;15.621.269,77
LEGISLATIVA;"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";55.509.759,22;45.959.737,30;39.532.152,05
CULTURA;"FUNDO ESTADUAL DE CULTURA";"DIFUSAO CULTURAL";105.548,36;105.548,36;80.000,00
EDUCACAO;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";"ENSINO SUPERIOR";227.084.485,55;202.441.051,79;201.194.903,76
SAUDE;"INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"ENSINO PROFISSIONAL";10.373.748,59;10.190.094,44;10.190.094,44
EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"ENSINO PROFISSIONAL";166.261.931,76;88.832.441,78;87.099.169,15
EDUCACAO;"FUNDO ESTADUAL DO TRABALHO DE MINAS GERAIS";"ENSINO PROFISSIONAL";2.382.069,39;0,00;0,00
"RELACOES EXTERIORES";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";"COOPERACAO INTERNACIONAL";567.762,84;552.937,17;560.442,15
EDUCACAO;"FUNDACAO EDUCACIONAL CAIO MARTINS";"ENSINO FUNDAMENTAL";1.622.098,31;368.320,86;368.320,86
"COMERCIO E SERVICOS";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";"PROMOCAO COMERCIAL";3.558.565,46;3.515.399,62;3.500.549,75
ENERGIA;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";BIOCOMBUSTIVEIS;6.343.094,67;6.101.633,79;6.101.172,27
"ENCARGOS ESPECIAIS";"FUNDACAO CLOVIS SALGADO";"OUTROS ENCARGOS ESPECIAIS";396.172,83;396.172,83;376.783,53
"ENCARGOS ESPECIAIS";"INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";3.753,03;3.753,03;3.753,03
URBANISMO;"FUNDO DE DESENVOLVIMENTO METROPOLITANO";"ORDENAMENTO TERRITORIAL";146.290,06;146.290,06;142.632,84
"COMERCIO E SERVICOS";"INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS";"NORMATIZACAO E FISCALIZACAO";17.115.943,50;16.495.942,64;16.288.938,41
"PREVIDENCIA SOCIAL";"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";282.397.631,02;282.397.631,02;282.472.032,69
"COMERCIO E SERVICOS";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";556.241,01;548.869,16;548.869,16
"ENCARGOS ESPECIAIS";"EGE SEC.FAZENDA-ENCARGOS DIVERSOS";"OUTRAS TRANSFERENCIAS";19.736.188.869,45;19.710.639.362,78;19.710.639.362,78
SAUDE;"FUNDO ESTADUAL DE SAUDE";"ATENCAO BASICA";1.293.433.117,62;1.289.957.453,02;1.289.194.212,67
"GESTAO AMBIENTAL";"INSTITUTO MINEIRO DE GESTAO DAS AGUAS";"RECURSOS HIDRICOS";57.566.782,61;56.200.276,87;46.152.654,83
"SEGURANCA PUBLICA";"FUNDO PENITENCIARIO ESTADUAL";"CUSTODIA E REINTEGRACAO SOCIAL";7.378.001,86;1.895.847,06;1.894.272,56
"ESSENCIAL A JUSTICA";"PROCURADORIA GERAL DE JUSTICA";"DEFESA DO INTERESSE PUBLICO NO PROCESSO JUDICIARIO";889.584.702,00;874.878.691,17;874.728.036,58
EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"EDUCACAO ESPECIAL";895.719.272,93;895.114.372,93;894.817.453,93
TRABALHO;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"ENSINO PROFISSIONAL";1.966.457,93;1.770.643,70;1.514.919,70
"GESTAO AMBIENTAL";"FUNDO DE RECUPERACAO, PROTECAO E DESENVOLVIMENTO SUSTENTAVEL DAS BACIAS HIDROGRAFICAS DO ESTADO DE M";"PRESERVACAO E CONSERVACAO AMBIENTAL";2.790,93;2.790,93;2.790,93
"SEGURANCA PUBLICA";"GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS";"TRANSPORTE RODOVIARIO";820.008,99;802.760,41;793.313,66
"COMERCIO E SERVICOS";"SECRETARIA DE ESTADO DE GOVERNO";COMERCIALIZACAO;36.663,00;33.330,00;33.330,00
AGRICULTURA;"EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS";"PROMOCAO DA PRODUCAO AGROPECUARIA";3.115.246,58;3.115.246,58;3.115.246,58
EDUCACAO;"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"ASSISTENCIA A CRIANCA E AO ADOLESCENTE";282.262.552,83;278.219.529,41;276.779.854,66
"ENCARGOS ESPECIAIS";"INSTITUTO ESTADUAL DO PATRIMONIO HISTORICO E ARTISTICO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";3.556.217,94;3.556.217,94;2.795.111,33
"SEGURANCA PUBLICA";"POLICIA MILITAR DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";6.384.091.914,27;6.384.091.914,27;6.384.091.914,27
SAUDE;"FUNDO DE APOIO HABITACIONAL DA ASSEMBLEIA LEGISLATIVA DE MINAS GERAIS";"ASSISTENCIA HOSPITALAR E AMBULATORIAL";16.498.843,34;16.498.843,34;16.350.353,75
"SEGURANCA PUBLICA";"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"ASSISTENCIA HOSPITALAR E AMBULATORIAL";16.984.019,55;16.779.774,97;16.711.132,01
ADMINISTRACAO;"GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";7.800.312,47;7.645.774,69;7.139.180,78
ADMINISTRACAO;"INSTITUTO ESTADUAL DE FLORESTAS";"ADMINISTRACAO GERAL";83.297.498,38;82.576.612,80;81.352.585,32
SAUDE;"ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";1.798.471,22;1.749.172,99;1.748.605,63
"SEGURANCA PUBLICA";"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";1.384.416,58;1.384.416,58;1.384.416,58
INDUSTRIA;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";MINERACAO;2.088.641,57;2.064.012,44;2.060.132,73
"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"CUSTODIA E REINTEGRACAO SOCIAL";2.430.396.476,14;2.338.666.832,29;2.325.058.804,00
"ESSENCIAL A JUSTICA";"DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS";"FORMACAO DE RECURSOS HUMANOS";344.948,04;267.934,04;265.909,07
EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"ALIMENTACAO E NUTRICAO";497.600.065,74;497.471.824,90;497.559.434,38
"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"ENSINO PROFISSIONAL";5.128.611,19;5.004.962,45;4.891.387,35
"DIREITOS DA CIDADANIA";"FUNDO ESTADUAL DOS DIREITOS DO IDOSO";"ASSISTENCIA AO IDOSO";679.359,16;599.359,16;519.359,16
AGRICULTURA;"EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS";"DESENVOLVIMENTO CIENTIFICO";12.144.391,39;12.144.391,39;12.144.391,39
SAUDE;"FUNDACAO EZEQUIEL DIAS";"DESENVOLVIMENTO CIENTIFICO";19.757.705,70;16.528.523,62;15.997.225,98
SAUDE;"ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS";"DESENVOLVIMENTO CIENTIFICO";2.249.196,61;2.037.439,85;2.035.944,39
EDUCACAO;"FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS";EMPREGABILIDADE;6.114.144,54;4.437.211,41;4.185.316,04
AGRICULTURA;"INSTITUTO MINEIRO DE AGROPECUARIA";"VIGILANCIA SANITARIA";20.838.133,57;19.506.265,05;19.452.882,27
"ENCARGOS ESPECIAIS";"FUNDACAO EZEQUIEL DIAS";"OUTROS ENCARGOS ESPECIAIS";29.063.072,96;29.063.072,96;28.664.567,81
"ENCARGOS ESPECIAIS";"INSTITUTO MINEIRO DE AGROPECUARIA";"OUTROS ENCARGOS ESPECIAIS";1.998.865,25;1.998.865,25;1.843.987,00
"ENCARGOS ESPECIAIS";"INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";45.430,83;45.430,83;45.430,83
"GESTAO AMBIENTAL";"FUNDACAO ESTADUAL DO MEIO AMBIENTE";"CONTROLE AMBIENTAL";375.211,62;375.211,62;413.824,47
"SEGURANCA PUBLICA";"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"NORMATIZACAO E FISCALIZACAO";262.528.134,22;244.438.088,83;235.982.939,03
"PREVIDENCIA SOCIAL";"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";431.070.392,55;431.070.392,55;431.074.974,19
ADMINISTRACAO;"CONTROLADORIA-GERAL DO ESTADO";"CONTROLE INTERNO";40.805.361,69;40.637.818,05;40.625.898,41
SAUDE;"FUNDACAO EZEQUIEL DIAS";"DIFUSAO DO CONHECIMENTO CIENTIFICO E TECNOLOGICO";3.418.685,49;2.943.002,06;2.893.899,64
EDUCACAO;"FUNDACAO EDUCACIONAL CAIO MARTINS";"ADMINISTRACAO GERAL";1.872.518,66;1.786.868,79;1.757.177,13
AGRICULTURA;"EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS";"EXTENSAO RURAL";292.284.682,04;292.284.682,04;292.284.682,04
TRANSPORTE;"SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE";"TRANSPORTES COLETIVOS URBANOS";2.130.337,22;2.130.337,22;2.127.934,08
EDUCACAO;"FUNDACAO JOAO PINHEIRO";"ENSINO SUPERIOR";15.968.246,44;14.337.831,20;14.224.538,20
ADMINISTRACAO;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"FORMACAO DE RECURSOS HUMANOS";9.474.834,05;9.331.238,73;9.257.903,63
ADMINISTRACAO;"SECRETARIA DE ESTADO DE FAZENDA";"ADMINISTRACAO DE RECEITAS";994.688.682,85;989.415.263,22;987.058.174,42
HABITACAO;"FUNDO DE APOIO HABITACIONAL AOS MILITARES DO ESTADO DE MINAS GERAIS";"HABITACAO URBANA";303.076,08;301.913,93;301.913,93
EDUCACAO;"POLICIA MILITAR DO ESTADO DE MINAS GERAIS";"ENSINO MEDIO";25.579.434,68;25.105.993,32;25.070.131,66
"ASSISTENCIA SOCIAL";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS";5.906.382,98;5.819.404,06;5.534.209,50
SAUDE;"FUNDACAO EZEQUIEL DIAS";"SUPORTE PROFILATICO E TERAPEUTICO";388.072.311,83;321.663.876,51;205.050.928,25
EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"ENSINO FUNDAMENTAL";7.560.583.774,85;7.127.578.785,42;6.627.460.431,81
AGRICULTURA;"INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS";"PROMOCAO DA PRODUCAO AGROPECUARIA";12.072.648,87;1.396.685,43;1.396.685,43
ADMINISTRACAO;"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO";"TECNOLOGIA DA INFORMACAO";18.515.753,32;14.969.139,31;14.320.126,12
EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"EDUCACAO BASICA";1.245.132.908,28;1.152.122.486,58;1.034.899.440,29
SAUDE;"INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"VIGILANCIA EPIDEMIOLOGICA";728.168,71;610.778,71;582.632,62
"DESPORTO E LAZER";"SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE";"DESPORTO COMUNITARIO";2.091.968,42;1.998.174,32;1.912.849,89
"ENCARGOS ESPECIAIS";"INSTITUTO ESTADUAL DE FLORESTAS";"OUTROS ENCARGOS ESPECIAIS";4.381.374,60;4.381.374,60;4.252.656,61
URBANISMO;"AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE";"ORDENAMENTO TERRITORIAL";2.523.993,92;2.498.502,58;2.497.695,21
"COMERCIO E SERVICOS";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"NORMATIZACAO E FISCALIZACAO";21.438.062,68;20.498.545,60;20.293.075,82
ADMINISTRACAO;"AGENCIA REGULADORA DE SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO DO ESTADO DE MINA";"ADMINISTRACAO GERAL";4.665.641,20;4.628.715,87;4.558.523,78
ADMINISTRACAO;"FUNDACAO CLOVIS SALGADO";"ADMINISTRACAO GERAL";11.382.769,47;10.746.763,52;10.015.532,05
ADMINISTRACAO;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"ADMINISTRACAO GERAL";27.523.285,13;26.974.581,11;26.828.041,99
ADMINISTRACAO;"CONTROLADORIA-GERAL DO ESTADO";"ADMINISTRACAO GERAL";10.634.081,22;10.563.192,94;10.478.928,16
ADMINISTRACAO;"FUNDACAO JOAO PINHEIRO";"ADMINISTRACAO GERAL";12.557.310,71;11.957.135,40;11.686.185,88
SAUDE;"INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";41.180.963,45;34.729.846,84;32.325.716,28
LEGISLATIVA;"FUNDO DO TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";84.380,17;84.380,17;82.018,33
"SEGURANCA PUBLICA";"POLICIA MILITAR DO ESTADO DE MINAS GERAIS";POLICIAMENTO;4.431.016.970,14;4.181.255.754,14;4.154.635.739,07
CULTURA;"FUNDACAO DE ARTE DE OURO PRETO";"PATRIMONIO HISTORICO, ARTISTICO E ARQUEOLOGICO";64.490,61;64.490,61;64.490,61
INDUSTRIA;"FUNDO DE INVESTIMENTO DO ESTADO DE MINAS GERAIS";"PROMOCAO INDUSTRIAL";0,00;0,00;0,00
"SEGURANCA PUBLICA";"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"FORMACAO DE RECURSOS HUMANOS";31.997.883,80;31.022.942,28;30.410.240,00
ADMINISTRACAO;"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO";"PLANEJAMENTO E ORCAMENTO";11.473.326,45;10.942.285,20;10.932.219,19
CULTURA;"FUNDACAO TV MINAS CULTURAL E EDUCATIVA";TELECOMUNICACOES;8.948.867,33;8.554.082,07;8.380.594,07
EDUCACAO;"FUNDACAO EDUCACIONAL CAIO MARTINS";"ENSINO MEDIO";423.411,30;370.111,30;370.111,30
TRANSPORTE;"PARTICIPACAO NO AUMENTO DO CAPITAL SOCIAL DE EMPRESAS";"TRANSPORTE FERROVIARIO";210.000,00;210.000,00;210.000,00
"CIENCIA E TECNOLOGIA";"EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS";"DESENVOLVIMENTO CIENTIFICO";56.715.026,41;56.715.026,41;56.715.026,41
SAUDE;"FUNDO ESTADUAL DE SAUDE";"VIGILANCIA EPIDEMIOLOGICA";512.906.107,49;454.622.118,11;445.900.668,46
"ENCARGOS ESPECIAIS";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";5.344.015,12;3.307.633,28;3.286.263,04
"SEGURANCA PUBLICA";"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"CONTROLE INTERNO";27.584.892,87;27.333.468,82;27.285.616,78
ADMINISTRACAO;"INSTITUTO MINEIRO DE AGROPECUARIA";"ADMINISTRACAO GERAL";144.841.573,80;143.951.224,96;143.789.215,99
ADMINISTRACAO;"AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE";"ADMINISTRACAO GERAL";2.261.361,78;2.251.936,19;2.202.861,82
ADMINISTRACAO;"SECRETARIA DE ESTADO DE GOVERNO";"ADMINISTRACAO GERAL";1.018.401.467,96;992.923.056,73;989.581.936,03
ADMINISTRACAO;"ADVOCACIA GERAL DO ESTADO";"ADMINISTRACAO GERAL";39.555.306,54;39.330.999,41;39.008.121,72
EDUCACAO;"UNIVERSIDADE DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";106.776,63;84.114,91;85.890,72
"ASSISTENCIA SOCIAL";"INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"ASSISTENCIA COMUNITARIA";1.000.000,00;754.166,08;754.166,08
AGRICULTURA;"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO - SEAPA";"RECURSOS HIDRICOS";5.681.738,13;5.597.776,58;5.108.170,75
"SEGURANCA PUBLICA";"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"CUSTODIA E REINTEGRACAO SOCIAL";2.820.281,64;2.581.996,02;2.509.059,94
"COMERCIO E SERVICOS";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";"ENERGIA ELETRICA";523.966,12;523.966,12;523.966,12
"DIREITOS DA CIDADANIA";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"ALIMENTACAO E NUTRICAO";1.109.223,87;1.092.353,59;1.042.448,41
ADMINISTRACAO;"FUNDACAO JOAO PINHEIRO";"PLANEJAMENTO E ORCAMENTO";16.604.264,29;16.557.037,12;16.486.217,27
EDUCACAO;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";"ENSINO PROFISSIONAL";22.696.751,50;14.817.495,49;12.937.505,02
CULTURA;"FUNDACAO CLOVIS SALGADO";"ENSINO PROFISSIONAL";3.636.860,95;3.621.839,07;3.621.839,07
"DIREITOS DA CIDADANIA";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS";30.262.283,62;29.549.674,26;27.668.411,30
AGRICULTURA;"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO - SEAPA";"PROMOCAO DA PRODUCAO AGROPECUARIA";24.557.725,30;22.634.800,13;22.438.794,50
"ENCARGOS ESPECIAIS";"FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";15.227,03;15.227,03;15.227,03
"SEGURANCA PUBLICA";"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";478.435.448,84;478.435.448,84;478.435.448,84
ADMINISTRACAO;"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";4.560.271,81;4.353.453,14;4.323.852,28
ADMINISTRACAO;"DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";89.452.434,54;84.052.347,96;82.893.886,66
"ASSISTENCIA SOCIAL";"FUNDO ESTADUAL DE ASSISTENCIA SOCIAL";"ASSISTENCIA COMUNITARIA";798.456.117,12;765.549.560,55;726.703.413,60
CULTURA;"FUNDACAO DE ARTE DE OURO PRETO";"DIFUSAO CULTURAL";1.829.681,46;1.820.139,08;1.793.773,74
CULTURA;"INSTITUTO ESTADUAL DO PATRIMONIO HISTORICO E ARTISTICO DE MINAS GERAIS";"PATRIMONIO HISTORICO, ARTISTICO E ARQUEOLOGICO";12.115.937,12;10.593.811,79;10.544.866,74
LEGISLATIVA;"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";"CONTROLE EXTERNO";527.468.317,00;525.086.178,75;524.217.303,61
EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"TRANSPORTE RODOVIARIO";361.539.448,54;342.043.976,88;340.621.029,05
EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"EDUCACAO INFANTIL";5.554.871,21;5.554.871,21;5.554.871,21
EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"EDUCACAO DE JOVENS E ADULTOS";83.850.951,92;83.845.868,79;83.842.859,39
"DESPORTO E LAZER";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"EDUCACAO DE JOVENS E ADULTOS";1.965.319,57;453.796,98;453.796,98
URBANISMO;"SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE";"INFRA-ESTRUTURA URBANA";174.446.178,59;88.649.768,72;76.180.960,33
ADMINISTRACAO;"OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS";"TECNOLOGIA DA INFORMACAO";32.500,00;32.500,00;32.500,00
SAUDE;"INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS";"ASSISTENCIA HOSPITALAR E AMBULATORIAL";747.118.133,15;681.796.280,46;669.259.540,25
JUDICIARIA;"FUNDO ESPECIAL DO PODER JUDICIARIO DO ESTADO DE MINAS GERAIS";"ACAO JUDICIARIA";1.321.476.953,11;985.087.567,33;911.759.423,12
"CIENCIA E TECNOLOGIA";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";"DIFUSAO DO CONHECIMENTO CIENTIFICO E TECNOLOGICO";16.920.505,19;16.680.862,73;16.678.979,19
ADMINISTRACAO;"INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS";"ADMINISTRACAO GERAL";10.600.598,61;9.905.257,91;9.673.044,13
ADMINISTRACAO;"FUNDACAO TV MINAS CULTURAL E EDUCATIVA";"ADMINISTRACAO GERAL";11.779.225,87;11.237.441,32;10.955.353,35
SAUDE;"FUNDO ESTADUAL DE SAUDE";"ADMINISTRACAO GERAL";512.620.156,92;486.345.092,33;468.416.269,85
"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"ADMINISTRACAO GERAL";88.335.951,91;86.891.518,62;85.782.557,64
AGRICULTURA;"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO - SEAPA";"EXTENSAO RURAL";329.987,12;329.987,12;329.987,12
"ORGANIZACAO AGRARIA";"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO - SEAPA";ABASTECIMENTO;5.954.374,41;3.538.483,19;3.473.309,93
"ENCARGOS ESPECIAIS";"GESTAO DA DIVIDA PUBLICA ESTADUAL";"SERVICO DA DIVIDA INTERNA";8.989.679.571,92;8.989.679.571,92;32.896.968,07
HABITACAO;"FUNDO DE APOIO HABITACIONAL DA ASSEMBLEIA LEGISLATIVA DE MINAS GERAIS";"HABITACAO URBANA";2.509.107,34;2.509.107,34;2.308.378,76
