Funcao;Orgao;Subfuncao;Valor Empenhado;Valor Liquidado;Valor Pago
ENCARGOS ESPECIAIS;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;OUTROS ENCARGOS ESPECIAIS;302.631.788,41;302.552.782,84;301.308.259,75
ENCARGOS ESPECIAIS;UNIVERSIDADE ESTADUAL DE MONTES CLAROS;OUTROS ENCARGOS ESPECIAIS;3.646.711,98;3.646.711,98;3.570.793,61
ENCARGOS ESPECIAIS;LOTERIA DO ESTADO DE MINAS GERAIS;OUTROS ENCARGOS ESPECIAIS;1.772.753,55;1.772.753,55;1.772.753,55
PREVIDENCIA SOCIAL;INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS;PREVIDENCIA DO REGIME ESTATUTARIO;1.895.937.881,89;1.877.740.403,34;1.221.703.055,18
EDUCACAO;UNIVERSIDADE ESTADUAL DE MONTES CLAROS;ASSISTENCIA HOSPITALAR E AMBULATORIAL;157.946.052,65;147.404.702,99;142.145.110,02
JUDICIARIA;TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS;ADMINISTRACAO GERAL;52.492.000,00;52.492.000,00;52.492.000,00
ADMINISTRACAO;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;ADMINISTRACAO GERAL;27.760.880,55;19.684.532,26;19.399.312,58
ADMINISTRACAO;OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS;ADMINISTRACAO GERAL;6.207.021,90;6.207.021,90;6.207.021,90
SAUDE;INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS;ADMINISTRACAO GERAL;142.617.542,09;133.624.709,21;130.776.413,57
TRABALHO;FUNDO ESTADUAL DO TRABALHO DE MINAS GERAIS;FOMENTO AO TRABALHO;26.688,12;4.264,26;0
CULTURA;SECRETARIA DE ESTADO DE CULTURA E TURISMO;PATRIMONIO HISTORICO, ARTISTICO E ARQUEOLOGICO;2.351.586,07;2.316.170,04;2.315.949,84
LEGISLATIVA;TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS;FORMACAO DE RECURSOS HUMANOS;2.454.830,10;2.314.932,76;2.259.519,87
COMERCIO E SERVICOS;SECRETARIA DE ESTADO DE CULTURA E TURISMO;TURISMO;5.327.632,06;4.720.783,78;4.720.157,69
CIENCIA E TECNOLOGIA;FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS;DESENVOLVIMENTO CIENTIFICO;339.579.631,49;339.131.275,56;326.778.607,67
ADMINISTRACAO;SECRETARIA DE ESTADO DE FAZENDA;ADMINISTRACAO FINANCEIRA;128.519.077,14;112.756.408,87;110.212.685,85
ENCARGOS ESPECIAIS;GESTAO DA DIVIDA PUBLICA ESTADUAL;OUTROS ENCARGOS ESPECIAIS;1.055.494.933,23;1.055.494.933,23;996.155.317,83
SAUDE;FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS;ASSISTENCIA HOSPITALAR E AMBULATORIAL;309.524.798,29;273.183.471,75;267.517.459,84
LEGISLATIVA;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;ACAO LEGISLATIVA;1.238.734.047,47;1.115.281.526,67;1.108.667.090,78
ENCARGOS ESPECIAIS;GESTAO DA DIVIDA PUBLICA ESTADUAL;SERVICO DA DIVIDA EXTERNA;540.615.687,63;540.615.687,63;540.615.687,63
ADMINISTRACAO;FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS;ADMINISTRACAO GERAL;2.166.015,70;2.100.383,16;2.084.702,56
SAUDE;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;ADMINISTRACAO GERAL;161.137.641,10;143.041.306,44;139.116.464,97
ADMINISTRACAO;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;ADMINISTRACAO DE CONCESSOES;21.878.801,11;4.336.744,92;4.099.888,67
SEGURANCA PUBLICA;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;DEFESA CIVIL;998.395.537,64;936.758.911,58;934.342.613,66
ESSENCIAL A JUSTICA;DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS;REPRESENTACAO JUDICIAL E EXTRAJUDICIAL;609.909.722,55;592.473.519,03;588.192.391,62
EDUCACAO;SECRETARIA DE ESTADO DE EDUCACAO;ENSINO MEDIO;3.238.868.566,78;3.229.335.662,25;3.146.963.922,13
SANEAMENTO;INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS;SANEAMENTO BASICO RURAL;9.473.107,75;8.920.049,97;8.915.580,81
ADMINISTRACAO;SECRETARIA-GERAL;COMUNICACAO SOCIAL;55.855.151,22;33.138.381,03;32.713.712,77
SEGURANCA PUBLICA;FUNDO ESTADUAL DE SEGURANCA PUBLICA DE MINAS GERAIS;ADMINISTRACAO FINANCEIRA;25.338.987,88;11.474.135,71;9.347.783,02
TRANSPORTE;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;TRANSPORTE AEREO;9.040.729,39;4.470.753,07;3.884.271,78
ENCARGOS ESPECIAIS;INSTITUTO MINEIRO DE GESTAO DAS AGUAS;OUTROS ENCARGOS ESPECIAIS;76.032,78;76.032,78;71.743,56
ENCARGOS ESPECIAIS;ADVOCACIA GERAL DO ESTADO;OUTROS ENCARGOS ESPECIAIS;847.019.615,52;846.953.804,33;636.585.173,09
ESSENCIAL A JUSTICA;FUNDO ESTADUAL DE PROTECAO E DEFESA DO CONSUMIDOR;ACAO JUDICIARIA;11.107.774,68;10.032.800,23;9.730.140,45
ADMINISTRACAO;EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS;ADMINISTRACAO GERAL;1.410.178,91;1.410.178,91;1.410.178,91
ADMINISTRACAO;FUNDACAO DE ARTE DE OURO PRETO;ADMINISTRACAO GERAL;1.541.988,66;1.514.604,82;1.453.173,95
HABITACAO;FUNDO ESTADUAL DE HABITACAO;ADMINISTRACAO GERAL;17.493.925,29;16.080.240,21;16.080.240,21
PREVIDENCIA SOCIAL;INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS;ADMINISTRACAO GERAL;27.489.760,04;23.319.975,32;23.183.201,42
TRABALHO;FUNDACAO EDUCACIONAL CAIO MARTINS;FOMENTO AO TRABALHO;1.042.372,98;956.692,98;956.692,98
SEGURANCA PUBLICA;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;POLICIAMENTO;2.429.804.964,58;2.366.823.203,51;2.353.071.272,69
SAUDE;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;ATENCAO BASICA;816.953,25;816.953,25;816.953,25
CULTURA;FUNDACAO CLOVIS SALGADO;DIFUSAO CULTURAL;26.484.250,09;26.301.157,79;26.103.995,13
EDUCACAO;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;ENSINO SUPERIOR;456.173.757,92;422.073.802,10;412.224.603,76
SAUDE;ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS;FORMACAO DE RECURSOS HUMANOS;11.909.744,43;11.590.490,02;11.350.358,14
SAUDE;FUNDO ESTADUAL DE SAUDE;ASSISTENCIA AO PORTADOR DE DEFICIENCIA;113.503.747,95;95.715.424,56;95.713.636,70
PREVIDENCIA SOCIAL;INSTITUTO DE PREVIDENCIA DO LEGISLATIVO DO ESTADO DE MINAS GERAIS;PREVIDENCIA ESPECIAL;45.827.402,89;45.827.402,89;45.827.402,89
CIENCIA E TECNOLOGIA;FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS;DESENVOLVIMENTO TECNOLOGICO E ENGENHARIA;2.000.000,00;2.000.000,00;2.000.000,00
SAUDE;FUNDO ESTADUAL DE SAUDE;DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS;8.960.489,33;8.960.489,33;8.960.489,33
TRANSPORTE;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;TRANSPORTE RODOVIARIO;105.554.998,09;24.134.230,35;23.795.189,35
TRANSPORTE;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;TRANSPORTE RODOVIARIO;1.772.018.865,61;1.045.470.117,03;1.039.416.927,67
SANEAMENTO;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;SANEAMENTO BASICO RURAL;10.257.045,41;6.222.883,19;5.928.383,83
TRANSPORTE;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;TRANSPORTE FERROVIARIO;247.531,27;205.517,24;205.517,24
SAUDE;FUNDO ESTADUAL DE SAUDE;DESENVOLVIMENTO CIENTIFICO;1.564.416,16;1.564.416,16;1.564.416,16
ENCARGOS ESPECIAIS;EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS;OUTROS ENCARGOS ESPECIAIS;8.868.480,94;8.868.480,94;8.868.480,94
ENCARGOS ESPECIAIS;AGENCIA REGULADORA DE SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO DO ESTADO DE MINA;OUTROS ENCARGOS ESPECIAIS;600;600;600
ENCARGOS ESPECIAIS;EMPRESA MINEIRA DE COMUNICACAO;OUTROS ENCARGOS ESPECIAIS;882.600,97;882.600,97;882.600,97
GESTAO AMBIENTAL;INSTITUTO ESTADUAL DE FLORESTAS;CONTROLE AMBIENTAL;11.883.885,42;11.681.689,81;11.678.044,93
SAUDE;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;ASSISTENCIA HOSPITALAR E AMBULATORIAL;1.813.859.641,68;1.719.729.927,93;1.703.072.842,85
CULTURA;FUNDACAO JOAO PINHEIRO;DIFUSAO DO CONHECIMENTO CIENTIFICO E TECNOLOGICO;1.796.110,08;1.794.844,62;1.791.865,44
COMERCIO E SERVICOS;INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS;NORMALIZACAO E QUALIDADE;933.382,08;907.083,02;915.104,74
ADMINISTRACAO;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;ADMINISTRACAO GERAL;311.790.893,86;282.615.888,64;269.819.670,49
ADMINISTRACAO;INSTITUTO MINEIRO DE GESTAO DAS AGUAS;ADMINISTRACAO GERAL;14.180.020,00;13.358.673,29;13.276.354,13
HABITACAO;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;ADMINISTRACAO GERAL;260.535,92;253.818,08;253.992,78
SEGURANCA PUBLICA;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;ADMINISTRACAO GERAL;273.888.386,65;273.339.008,47;273.195.939,79
SEGURANCA PUBLICA;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;FORMACAO DE RECURSOS HUMANOS;86.811.964,94;86.239.934,52;86.191.503,89
ESSENCIAL A JUSTICA;ADVOCACIA GERAL DO ESTADO;REPRESENTACAO JUDICIAL E EXTRAJUDICIAL;333.487.878,94;330.293.318,25;321.534.359,62
SEGURANCA PUBLICA;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;PROTECAO E BENEFICIOS AO TRABALHADOR;313.211,69;313.211,69;313.211,69
SANEAMENTO;SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL;SANEAMENTO BASICO URBANO;37.754.301,97;35.538.975,50;32.410.120,97
ENCARGOS ESPECIAIS;FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS;OUTROS ENCARGOS ESPECIAIS;193.242,38;193.242,38;175.212,82
ENCARGOS ESPECIAIS;FUNDACAO HELENA ANTIPOFF;OUTROS ENCARGOS ESPECIAIS;2.312,55;2.312,55;2.312,55
ENCARGOS ESPECIAIS;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;OUTROS ENCARGOS ESPECIAIS;7.362.076,14;7.360.076,14;6.308.622,32
SEGURANCA PUBLICA;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;INFORMACAO E INTELIGENCIA;917.530,66;917.530,66;917.530,66
PREVIDENCIA SOCIAL;TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS;PREVIDENCIA DO REGIME ESTATUTARIO;1.967.289.462,85;1.967.289.462,85;1.967.582.440,72
PREVIDENCIA SOCIAL;FUNDO FINANCEIRO DE PREVIDENCIA DO ESTADO DE MINAS GERAIS;PREVIDENCIA DO REGIME ESTATUTARIO;15.317.380.807,93;15.317.301.648,22;15.322.818.683,19
JUDICIARIA;TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS;ACAO JUDICIARIA;14.174.393,94;9.580.800,92;9.005.592,73
JUDICIARIA;TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS;ADMINISTRACAO GERAL;5.057.547.933,05;5.057.547.933,05;5.057.831.969,78
ADMINISTRACAO;FUNDACAO ESTADUAL DO MEIO AMBIENTE;ADMINISTRACAO GERAL;22.020.865,15;21.999.677,13;21.999.456,52
ADMINISTRACAO;SECRETARIA-GERAL;ADMINISTRACAO GERAL;7.810.598,42;6.786.373,91;6.695.927,84
ADMINISTRACAO;SECRETARIA DE ESTADO DE CULTURA E TURISMO;ADMINISTRACAO GERAL;14.055.870,32;13.896.760,97;13.894.717,04
ADMINISTRACAO;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;ADMINISTRACAO GERAL;8.167.664,92;7.708.599,17;7.517.431,84
EDUCACAO;FUNDACAO HELENA ANTIPOFF;ADMINISTRACAO GERAL;15.185.653,35;14.101.451,99;14.101.907,93
ADMINISTRACAO;FUNDO DE PAGAMENTO DE PARCERIAS PUBLICO - PRIVADAS DE MINAS GERAIS;ADMINISTRACAO DE CONCESSOES;386.159.674,85;248.996.997,66;238.193.664,04
DESPORTO E LAZER;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;DESPORTO DE RENDIMENTO;2.269.785,72;2.269.785,72;1.975.785,72
CULTURA;EMPRESA MINEIRA DE COMUNICACAO;DIFUSAO CULTURAL;11.221.341,84;11.221.341,84;11.221.341,84
SEGURANCA PUBLICA;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;DEFESA CIVIL;16.034.770,41;13.072.290,35;12.954.877,80
EDUCACAO;FUNDACAO EDUCACIONAL CAIO MARTINS;ENSINO PROFISSIONAL;9.294.244,68;7.913.835,35;7.793.859,22
SAUDE;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS;8.960.489,33;8.954.804,49;8.529.668,23
AGRICULTURA;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO - SEAPA;PROMOCAO DA PRODUCAO ANIMAL;929,44;929,44;929,44
EDUCACAO;FUNDACAO HELENA ANTIPOFF;ENSINO FUNDAMENTAL;10.059.259,13;9.934.730,72;9.934.730,72
SAUDE;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;ASSISTENCIA A CRIANCA E AO ADOLESCENTE;21.302.125,29;20.175.821,30;20.123.230,80
