Funcao;Orgao;Subfuncao;Valor Empenhado;Valor Liquidado;Valor Pago
EDUCACAO;FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS;EMPREGABILIDADE;5.274.257,63;4.928.529,39;4.529.782,67
AGRICULTURA;INSTITUTO MINEIRO DE AGROPECUARIA;VIGILANCIA SANITARIA;23.589.552,18;22.662.239,85;22.451.942,52
ENCARGOS ESPECIAIS;FUNDACAO EZEQUIEL DIAS;OUTROS ENCARGOS ESPECIAIS;31.369.522,65;31.369.373,25;31.227.576,24
ENCARGOS ESPECIAIS;INSTITUTO MINEIRO DE AGROPECUARIA;OUTROS ENCARGOS ESPECIAIS;2.734.329,65;2.686.708,88;2.516.332,82
ENCARGOS ESPECIAIS;INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS;OUTROS ENCARGOS ESPECIAIS;131.821,69;131.821,69;126.218,51
GESTAO AMBIENTAL;FUNDACAO ESTADUAL DO MEIO AMBIENTE;CONTROLE AMBIENTAL;539.018,28;539.018,28;539.018,28
SEGURANCA PUBLICA;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;NORMATIZACAO E FISCALIZACAO;234.094.180,36;217.017.326,19;211.922.128,88
PREVIDENCIA SOCIAL;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;PREVIDENCIA DO REGIME ESTATUTARIO;464.231.932,36;464.231.932,36;464.251.263,45
ADMINISTRACAO;CONTROLADORIA-GERAL DO ESTADO;CONTROLE INTERNO;49.185.740,82;48.918.823,50;48.876.791,02
SAUDE;FUNDACAO EZEQUIEL DIAS;DIFUSAO DO CONHECIMENTO CIENTIFICO E TECNOLOGICO;4.047.075,95;3.743.152,33;3.743.508,70
AGRICULTURA;EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS;EXTENSAO RURAL;358.084.629,36;358.084.629,36;358.084.629,36
TRANSPORTE;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;TRANSPORTES COLETIVOS URBANOS;129.553.033,39;128.382.407,64;128.142.730,93
EDUCACAO;FUNDACAO JOAO PINHEIRO;ENSINO SUPERIOR;22.137.678,83;20.136.256,64;19.365.011,53
ADMINISTRACAO;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;FORMACAO DE RECURSOS HUMANOS;10.303.922,71;10.068.686,42;10.003.270,83
ADMINISTRACAO;SECRETARIA DE ESTADO DE FAZENDA;ADMINISTRACAO DE RECEITAS;1.181.800.825,29;1.176.786.102,52;1.175.202.067,43
HABITACAO;FUNDO DE APOIO HABITACIONAL AOS MILITARES DO ESTADO DE MINAS GERAIS;HABITACAO URBANA;315.895,03;315.480,44;315.480,44
EDUCACAO;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;ENSINO MEDIO;28.881.981,50;28.531.369,28;28.491.637,54
ASSISTENCIA SOCIAL;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS;2.995.759,87;2.912.036,27;2.859.471,48
SAUDE;FUNDACAO EZEQUIEL DIAS;SUPORTE PROFILATICO E TERAPEUTICO;216.866.445,95;164.859.404,64;154.843.252,47
DESPORTO E LAZER;SECRETARIA DE ESTADO DE CULTURA E TURISMO;TURISMO;488.790,00;488.790,00;488.790,00
SAUDE;FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS;DESENVOLVIMENTO CIENTIFICO;1.564.416,16;1.564.416,16;1.425.710,87
EDUCACAO;SECRETARIA DE ESTADO DE EDUCACAO;ENSINO FUNDAMENTAL;8.467.752.173,76;8.436.954.672,75;8.383.224.130,10
AGRICULTURA;INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS;PROMOCAO DA PRODUCAO AGROPECUARIA;25.738.085,02;20.715.694,05;20.715.694,05
ADMINISTRACAO;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;TECNOLOGIA DA INFORMACAO;21.346.069,68;18.210.264,18;17.327.568,75
EDUCACAO;SECRETARIA DE ESTADO DE EDUCACAO;EDUCACAO BASICA;1.961.716.235,71;1.652.308.167,22;1.553.067.837,26
SEGURANCA PUBLICA;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;ASSISTENCIA A CRIANCA E AO ADOLESCENTE;202.692.748,16;200.750.638,51;195.601.637,28
SAUDE;INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS;VIGILANCIA EPIDEMIOLOGICA;1.269.335,00;993.535,00;949.709,48
DESPORTO E LAZER;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;DESPORTO COMUNITARIO;782.098,82;780.818,82;865.969,76
ENCARGOS ESPECIAIS;INSTITUTO ESTADUAL DE FLORESTAS;OUTROS ENCARGOS ESPECIAIS;1.776.359,42;1.773.828,16;1.631.852,37
URBANISMO;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE;ORDENAMENTO TERRITORIAL;3.416.759,87;3.409.021,91;3.380.562,94
COMERCIO E SERVICOS;JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS;NORMATIZACAO E FISCALIZACAO;23.635.675,67;21.860.261,32;21.464.108,71
ADMINISTRACAO;AGENCIA REGULADORA DE SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO DO ESTADO DE MINA;ADMINISTRACAO GERAL;5.329.899,79;5.243.195,12;5.172.642,67
ADMINISTRACAO;FUNDACAO CLOVIS SALGADO;ADMINISTRACAO GERAL;13.755.002,09;13.014.637,76;12.487.634,39
ADMINISTRACAO;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;ADMINISTRACAO GERAL;31.713.881,43;31.241.724,12;30.908.814,66
ADMINISTRACAO;CONTROLADORIA-GERAL DO ESTADO;ADMINISTRACAO GERAL;6.479.926,55;6.473.832,15;6.335.317,00
ADMINISTRACAO;FUNDACAO JOAO PINHEIRO;ADMINISTRACAO GERAL;17.020.793,58;12.858.353,44;12.692.220,90
ADMINISTRACAO;FUNDO FINANCEIRO DE PREVIDENCIA DO ESTADO DE MINAS GERAIS;ADMINISTRACAO GERAL;6.610.974,15;4.782.809,97;4.502.005,56
SAUDE;INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS;ADMINISTRACAO GERAL;48.806.715,95;44.400.024,58;41.482.699,96
LEGISLATIVA;FUNDO DO TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS;ADMINISTRACAO GERAL;24.587,70;24.587,70;24.587,70
SEGURANCA PUBLICA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;POLICIAMENTO;4.799.136.126,04;4.625.543.609,86;4.595.636.446,82
CULTURA;FUNDACAO DE ARTE DE OURO PRETO;PATRIMONIO HISTORICO, ARTISTICO E ARQUEOLOGICO;208.412,25;193.560,03;163.783,80
INDUSTRIA;FUNDO DE INVESTIMENTO DO ESTADO DE MINAS GERAIS;PROMOCAO INDUSTRIAL;88.898.823,30;88.898.823,30;0
SEGURANCA PUBLICA;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;FORMACAO DE RECURSOS HUMANOS;23.921.173,91;21.725.987,02;21.615.217,43
ADMINISTRACAO;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;PLANEJAMENTO E ORCAMENTO;19.513.689,58;14.211.513,09;14.199.523,68
CULTURA;FUNDACAO TV MINAS CULTURAL E EDUCATIVA;TELECOMUNICACOES;8.257.047,13;8.059.187,40;7.941.235,48
EDUCACAO;FUNDACAO EDUCACIONAL CAIO MARTINS;ENSINO MEDIO;359.240,30;359.240,30;359.240,30
CIENCIA E TECNOLOGIA;EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS;DESENVOLVIMENTO CIENTIFICO;58.724.865,34;58.724.865,34;58.724.865,34
SAUDE;FUNDO ESTADUAL DE SAUDE;VIGILANCIA EPIDEMIOLOGICA;286.784.162,36;227.266.216,72;210.418.811,58
ENCARGOS ESPECIAIS;JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS;OUTROS ENCARGOS ESPECIAIS;3.690.556,23;3.597.465,31;3.450.420,08
SEGURANCA PUBLICA;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;CONTROLE INTERNO;31.996.555,52;31.793.674,21;31.786.552,96
ADMINISTRACAO;INSTITUTO MINEIRO DE AGROPECUARIA;ADMINISTRACAO GERAL;172.034.104,13;169.977.404,43;169.986.719,31
ADMINISTRACAO;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE;ADMINISTRACAO GERAL;2.613.444,11;2.501.356,11;2.424.696,73
ADMINISTRACAO;SECRETARIA DE ESTADO DE GOVERNO;ADMINISTRACAO GERAL;1.612.367.422,42;1.582.547.050,78;1.572.466.267,45
ADMINISTRACAO;ADVOCACIA GERAL DO ESTADO;ADMINISTRACAO GERAL;42.160.693,97;41.267.960,55;40.822.341,15
EDUCACAO;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;ADMINISTRACAO GERAL;631.786,24;590.127,73;573.876,53
ASSISTENCIA SOCIAL;INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS;ASSISTENCIA COMUNITARIA;1.049.500,00;869.134,90;869.134,90
AGRICULTURA;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO - SEAPA;RECURSOS HIDRICOS;48.912.817,28;48.899.019,14;44.327.344,18
SEGURANCA PUBLICA;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;CUSTODIA E REINTEGRACAO SOCIAL;3.851.960,23;3.465.811,41;3.461.755,85
COMERCIO E SERVICOS;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;ENERGIA ELETRICA;738.712,48;738.712,48;738.712,48
DIREITOS DA CIDADANIA;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;ALIMENTACAO E NUTRICAO;1.902.088,25;1.894.301,80;1.058.692,86
ADMINISTRACAO;FUNDACAO JOAO PINHEIRO;PLANEJAMENTO E ORCAMENTO;19.875.031,92;19.680.839,71;19.303.385,19
EDUCACAO;UNIVERSIDADE ESTADUAL DE MONTES CLAROS;ENSINO PROFISSIONAL;12.333.407,07;8.995.862,26;7.865.930,83
DIREITOS DA CIDADANIA;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS;33.229.278,66;30.839.564,49;29.484.294,67
AGRICULTURA;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO - SEAPA;PROMOCAO DA PRODUCAO AGROPECUARIA;117.403.890,55;115.112.480,55;111.677.921,83
ENCARGOS ESPECIAIS;FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS;OUTROS ENCARGOS ESPECIAIS;13.148,44;13.148,44;13.148,44
SEGURANCA PUBLICA;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;PREVIDENCIA DO REGIME ESTATUTARIO;564.491.383,88;564.491.383,88;564.491.383,88
ADMINISTRACAO;JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS;ADMINISTRACAO GERAL;4.340.951,28;4.091.669,45;4.059.849,86
ADMINISTRACAO;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;ADMINISTRACAO GERAL;121.736.875,67;113.639.195,76;112.091.051,51
ASSISTENCIA SOCIAL;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;ASSISTENCIA COMUNITARIA;207.531.660,90;189.241.489,70;187.462.418,98
CULTURA;FUNDACAO DE ARTE DE OURO PRETO;DIFUSAO CULTURAL;2.912.277,14;2.587.869,34;2.527.835,84
EDUCACAO;EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS;ENSINO SUPERIOR;14.589.414,41;14.589.414,41;14.589.414,41
CULTURA;INSTITUTO ESTADUAL DO PATRIMONIO HISTORICO E ARTISTICO DE MINAS GERAIS;PATRIMONIO HISTORICO, ARTISTICO E ARQUEOLOGICO;14.143.560,23;10.284.799,44;10.239.967,10
