Ano;Funcao;Orgao;Subfuncao;"Valor Empenhado";"Valor Liquidado";"Valor Pago"
2023;"ENCARGOS ESPECIAIS";"INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";13.302.562,94;13.209.425,39;12.074.173,24
2023;SANEAMENTO;"AGENCIA REGULADORA DE SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO DO ESTADO DE MINA";"NORMATIZACAO E FISCALIZACAO";8.969.119,11;8.515.445,60;8.502.459,24
2023;"PREVIDENCIA SOCIAL";"TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";25.886.319,48;25.886.319,48;25.886.319,48
2023;"PREVIDENCIA SOCIAL";"FUNDO DE ASSISTENCIA AO PECULIO DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";70.858.137,49;57.235.533,33;57.230.329,98
2023;"COMERCIO E SERVICOS";"PARTICIPACAO NO AUMENTO DO CAPITAL SOCIAL DE EMPRESAS";"SERVICOS FINANCEIROS";29.606,85;29.606,85;29.606,85
2023;ADMINISTRACAO;"INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";7.462.381,92;7.269.970,83;6.805.255,04
2023;EDUCACAO;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";"ADMINISTRACAO GERAL";17.996.516,80;16.058.579,42;15.329.499,99
2023;LEGISLATIVA;"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";81.100.186,87;69.196.743,88;57.925.521,61
2023;CULTURA;"FUNDO ESTADUAL DE CULTURA";"DIFUSAO CULTURAL";905.069,61;905.069,61;811.629,61
2023;EDUCACAO;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";"ENSINO SUPERIOR";189.709.123,43;185.750.108,91;185.220.164,20
2023;SAUDE;"INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"ENSINO PROFISSIONAL";10.391.111,75;10.282.211,75;10.282.211,75
2023;EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"ENSINO PROFISSIONAL";837.699.109,78;573.201.942,18;563.176.937,67
