Funcao;Orgao;Subfuncao;"Valor Empenhado";"Valor Liquidado";"Valor Pago"
"DESPORTO E LAZER";"SECRETARIA DE ESTADO DE ESPORTES";"DESPORTO COMUNITARIO";1.809.952,95;1.261.124,87;976.874,90
"DESPORTO E LAZER";"SECRETARIA DE ESTADO DE ESPORTES";LAZER;12.413.600,36;8.709.648,99;7.996.216,41
"ENCARGOS ESPECIAIS";"EGE-SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO";"OUTROS ENCARGOS ESPECIAIS";1.436.673,00;1.436.673,00;1.436.673,00
"ENCARGOS ESPECIAIS";"FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";14.833.222,61;14.696.339,53;13.553.673,46
"ENCARGOS ESPECIAIS";"FUNDACAO EDUCACIONAL CAIO MARTINS";"OUTROS ENCARGOS ESPECIAIS";230.555,97;230.279,64;213.989,69
"GESTAO AMBIENTAL";"SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL";"CONTROLE AMBIENTAL";1.931.957,75;1.644.454,57;1.623.820,39
SAUDE;"POLICIA MILITAR DO ESTADO DE MINAS GERAIS";"ASSISTENCIA HOSPITALAR E AMBULATORIAL";57.799.786,92;42.985.331,61;39.777.685,59
SAUDE;"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"ASSISTENCIA HOSPITALAR E AMBULATORIAL";832.172,29;477.597,45;365.783,10
"GESTAO AMBIENTAL";"INSTITUTO MINEIRO DE GESTAO DAS AGUAS";"ADMINISTRACAO GERAL";17.352.431,52;17.072.087,51;16.957.298,35
AGRICULTURA;"EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS";"ADMINISTRACAO GERAL";97.704.445,65;97.704.445,65;97.704.445,65
"ESSENCIAL A JUSTICA";"PROCURADORIA GERAL DE JUSTICA";"ADMINISTRACAO GERAL";865.738.451,73;798.552.642,68;788.157.649,57
"ESSENCIAL A JUSTICA";"FUNDO ESPECIAL DO MINISTERIO PUBLICO DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";1.959.074,87;871.905,20;861.057,24
ADMINISTRACAO;"SECRETARIA DE ESTADO DE FAZENDA";"ADMINISTRACAO GERAL";1.001.870.409,00;1.000.608.035,15;1.000.381.272,73
ADMINISTRACAO;"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";24.735.177,19;19.896.664,09;18.108.313,38
"ASSISTENCIA SOCIAL";"SECRETARIA DE ESTADO DE  DESENVOLVIMENTO SOCIAL";"ADMINISTRACAO GERAL";40.984.736,08;40.042.407,96;39.638.750,94
"SEGURANCA PUBLICA";"POLICIA MILITAR DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";4.766.738.307,73;4.766.138.981,02;4.764.284.769,85
"DESPORTO E LAZER";"SECRETARIA DE ESTADO DE ESPORTES";"DESPORTO DE RENDIMENTO";1.721.019,54;1.522.358,00;1.522.564,00
JUDICIARIA;"FUNDO ESPECIAL DO PODER JUDICIARIO DO ESTADO DE MINAS GERAIS";"FORMACAO DE RECURSOS HUMANOS";4.376.225,36;4.275.325,29;4.299.509,33
"DIREITOS DA CIDADANIA";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO AGRARIO";"REFORMA AGRARIA";949,00;949,00;949,00
ADMINISTRACAO;"EGE-SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO";"PREVIDENCIA ESPECIAL";25.937.111,86;25.937.111,86;25.937.111,86
