Funcao;Orgao;Subfuncao;"Valor Empenhado";"Valor Liquidado";"Valor Pago"
"GESTAO AMBIENTAL";"FUNDACAO ESTADUAL DO MEIO AMBIENTE";"PRESERVACAO E CONSERVACAO AMBIENTAL";1.457.329,46;930.836,35;698.883,68
"ASSISTENCIA SOCIAL";"SECRETARIA DE ESTADO DE DIREITOS HUMANOS, PARTICIPACAO SOCIAL E CIDADANIA";"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS";150.000,00;150.000,00;150.000,00
"DIREITOS DA CIDADANIA";"OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS";"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS";819.456,62;791.691,89;728.092,15
"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE  DESENVOLVIMENTO SOCIAL";"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS";924.767,78;878.482,18;863.871,10
SANEAMENTO;"SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL";"SANEAMENTO BASICO RURAL";1.206.570,00;1.206.570,00;1.036.570,00
SANEAMENTO;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO E INTEGRACAO DO NORTE E NORDESTE DE MINAS GERAIS";"SANEAMENTO BASICO RURAL";19.021.418,44;11.287.333,95;11.474.094,12
SAUDE;"FUNDO ESTADUAL DE SAUDE";"SUPORTE PROFILATICO E TERAPEUTICO";889.601.422,35;734.229.673,67;645.663.738,82
URBANISMO;"SECRETARIA DE ESTADO  DE INFRAESTRUTURA E MOBILIDADE";"INFRA-ESTRUTURA URBANA";48.995.236,59;31.098.207,71;25.206.450,18
"GESTAO AMBIENTAL";"INSTITUTO ESTADUAL DE FLORESTAS";"RECUPERACAO DE AREAS DEGRADADAS";2.990.088,35;2.856.159,83;2.433.374,32
"SEGURANCA PUBLICA";"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"EDUCACAO BASICA";24.563,00;17.000,00;0,00
SAUDE;"FUNDO ESTADUAL DE SAUDE";"VIGILANCIA SANITARIA";67.585.022,50;15.155.478,05;5.048.489,74
"ENCARGOS ESPECIAIS";"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";14.682,35;14.682,35;14.682,35
"ENCARGOS ESPECIAIS";"INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";72.797.063,45;72.790.410,55;61.737.649,43
"ENCARGOS ESPECIAIS";"FUNDACAO TV MINAS CULTURAL E EDUCATIVA";"OUTROS ENCARGOS ESPECIAIS";2.705,08;2.705,08;2.705,08
URBANISMO;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";"ORDENAMENTO TERRITORIAL";45.144,00;45.144,00;45.144,00
URBANISMO;"AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DO VALE DO ACO";"ORDENAMENTO TERRITORIAL";97.101,21;80.984,21;71.769,81
TRANSPORTE;"FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES";"NORMATIZACAO E FISCALIZACAO";40.987.753,30;33.435.079,79;30.052.779,73
"PREVIDENCIA SOCIAL";"DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";102.030.420,09;102.030.420,09;102.030.420,09
SAUDE;"FUNDO ESTADUAL DE SAUDE";"ASSISTENCIA HOSPITALAR E AMBULATORIAL";4.219.339.429,98;3.717.232.046,19;3.135.891.138,53
AGRICULTURA;"EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS";"DIFUSAO DO CONHECIMENTO CIENTIFICO E TECNOLOGICO";198.494,00;198.494,00;198.494,00
"DESPORTO E LAZER";"SECRETARIA DE ESTADO DE ESPORTES";"ADMINISTRACAO GERAL";1.278.718,83;1.201.515,87;1.093.595,92
TRANSPORTE;"FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES";"OUTRAS TRANSFERENCIAS";11.300.175,03;11.300.175,03;11.300.175,03
CULTURA;"SECRETARIA DE ESTADO DE CULTURA E TURISMO";"DIFUSAO CULTURAL";12.457.894,46;11.482.781,29;10.295.568,43
"CIENCIA E TECNOLOGIA";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";"ENSINO SUPERIOR";1.030,00;0,00;0,00
ADMINISTRACAO;"GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS";"FORMACAO DE RECURSOS HUMANOS";700,00;700,00;700,00
SAUDE;"FUNDO ESTADUAL DE SAUDE";"FORMACAO DE RECURSOS HUMANOS";14.185.087,35;13.921.168,78;13.921.539,78
EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"FORMACAO DE RECURSOS HUMANOS";2.469.236,58;1.319.407,58;852.344,69
TRANSPORTE;"FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES";"ADMINISTRACAO DE RECEITAS";14.030.268,48;12.709.182,48;12.596.328,77
AGRICULTURA;"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO";"PLANEJAMENTO E ORCAMENTO";2.627,28;2.627,28;2.627,28
"GESTAO AMBIENTAL";"INSTITUTO ESTADUAL DE FLORESTAS";"REFORMA AGRARIA";162.113,01;26.868,13;26.868,13
EDUCACAO;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";"ENSINO PROFISSIONAL";379.787,68;379.787,68;339.818,14
"GESTAO AMBIENTAL";"INSTITUTO ESTADUAL DE FLORESTAS";"PRESERVACAO E CONSERVACAO AMBIENTAL";42.636.450,25;39.412.104,75;34.434.291,67
"DIREITOS DA CIDADANIA";"FUNDO ESTADUAL DE DEFESA DE DIREITOS DIFUSOS";"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS";9.207,65;9.207,65;9.207,65
"DIREITOS DA CIDADANIA";"SECRETARIA DE ESTADO DE DIREITOS HUMANOS, PARTICIPACAO SOCIAL E CIDADANIA";"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS";4.999.521,66;4.757.865,08;4.704.980,18
"SEGURANCA PUBLICA";"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS";573.807,92;443.974,69;431.244,96
"COMERCIO E SERVICOS";"LOTERIA DO ESTADO DE MINAS GERAIS";COMERCIALIZACAO;5.158.280,63;2.707.975,08;2.699.403,66
"DIREITOS DA CIDADANIA";"FUNDO PARA A INFANCIA E A ADOLESCENCIA";"ASSISTENCIA A CRIANCA E AO ADOLESCENTE";271.373,01;271.373,01;256.117,01
"SEGURANCA PUBLICA";"GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS";"DEFESA DA ORDEM JURIDICA";7.152.388,65;5.843.119,75;3.010.503,20
"ENCARGOS ESPECIAIS";"FUNDACAO ESTADUAL DO MEIO AMBIENTE";"OUTROS ENCARGOS ESPECIAIS";7.375.398,15;7.282.493,30;6.698.822,49
"ENCARGOS ESPECIAIS";"INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";5.629.647,26;5.583.132,54;5.420.426,13
"PREVIDENCIA SOCIAL";"TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";14.653.995,10;14.653.995,10;14.653.995,10
"PREVIDENCIA SOCIAL";"FUNDO DE ASSISTENCIA AO PECULIO DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";125.138.261,65;124.897.169,07;18.140.048,87
"COMERCIO E SERVICOS";"PARTICIPACAO NO AUMENTO DO CAPITAL SOCIAL DE EMPRESAS";"SERVICOS FINANCEIROS";67.546.261,38;67.493.352,38;67.493.352,38
AGRICULTURA;"EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";261.243.958,43;261.243.958,43;261.243.958,43
ADMINISTRACAO;"SECRETARIA DE ESTADO DE CASA CIVIL E DE RELACOES INSTITUCIONAIS";"ADMINISTRACAO GERAL";15.895.640,56;15.894.149,12;15.703.223,92
URBANISMO;"AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE";"ADMINISTRACAO GERAL";4.723.996,31;4.634.265,57;4.570.174,85
EDUCACAO;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";"ADMINISTRACAO GERAL";237.854.177,03;235.033.265,53;231.560.527,18
LEGISLATIVA;"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";43.016.314,28;36.093.134,65;31.195.603,23
"ASSISTENCIA SOCIAL";"SECRETARIA DE ESTADO DE  DESENVOLVIMENTO SOCIAL";"ASSISTENCIA COMUNITARIA";23.245.703,43;23.245.603,41;22.303.684,52
TRABALHO;"SECRETARIA DE ESTADO DE  DESENVOLVIMENTO SOCIAL";"FOMENTO AO TRABALHO";3.300.431,61;2.921.819,83;2.643.861,68
CULTURA;"FUNDO ESTADUAL DE CULTURA";"DIFUSAO CULTURAL";441.649,94;441.649,94;380.449,94
EDUCACAO;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";"ENSINO SUPERIOR";7.918.606,96;6.494.622,12;6.038.305,79
"SEGURANCA PUBLICA";"POLICIA MILITAR DO ESTADO DE MINAS GERAIS";"FORMACAO DE RECURSOS HUMANOS";982.619,47;746.862,12;316.942,72
"ORGANIZACAO AGRARIA";"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO";"REFORMA AGRARIA";1.334.081,87;12.596,50;13.208,75
EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"ENSINO PROFISSIONAL";41.417.211,66;41.275.258,56;41.275.348,56
"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE SEGURANCA PUBLICA";"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS";2.503.792,90;2.484.501,37;2.415.055,58
EDUCACAO;"UNIVERSIDADE DO ESTADO DE MINAS GERAIS";"DESENVOLVIMENTO CIENTIFICO";259.163,10;259.163,10;259.163,10
"COMERCIO E SERVICOS";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";"PROMOCAO COMERCIAL";276.947,77;271.904,40;269.227,95
"ENCARGOS ESPECIAIS";"FUNDACAO CLOVIS SALGADO";"OUTROS ENCARGOS ESPECIAIS";35.190,90;35.190,90;34.982,09
"ENCARGOS ESPECIAIS";"INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";145.236,63;145.236,63;138.962,02
URBANISMO;"FUNDO DE DESENVOLVIMENTO METROPOLITANO";"ORDENAMENTO TERRITORIAL";452.382,97;320.524,52;316.465,19
"PREVIDENCIA SOCIAL";"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";239.569.253,60;239.569.253,60;239.600.910,67
EDUCACAO;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";"DIFUSAO DO CONHECIMENTO CIENTIFICO E TECNOLOGICO";237.367,23;75.827,47;75.593,77
AGRICULTURA;"INSTITUTO MINEIRO DE AGROPECUARIA";"ADMINISTRACAO GERAL";172.676.096,21;170.899.292,13;170.690.211,30
"ESSENCIAL A JUSTICA";"DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";358.109.977,67;355.097.380,47;352.715.515,61
"COMERCIO E SERVICOS";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";21.365.222,73;20.458.890,79;19.418.041,28
"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE SEGURANCA PUBLICA";"ADMINISTRACAO GERAL";22.237.294,21;21.843.267,57;21.130.166,06
"ENCARGOS ESPECIAIS";"EGE SEC.FAZENDA-ENCARGOS DIVERSOS";"OUTRAS TRANSFERENCIAS";16.009.635.052,98;16.009.635.052,98;15.004.973.664,47
TRANSPORTE;"FUNDO DE PAGAMENTO DE PARCERIAS PUBLICO-PRIVADAS DE MINAS GERAIS";"ADMINISTRACAO DE CONCESSOES";18.954.313,35;13.749.380,01;12.360.828,56
SAUDE;"FUNDO ESTADUAL DE SAUDE";"ATENCAO BASICA";1.414.529.305,94;1.391.814.731,47;93.936.813,22
TRANSPORTE;"SECRETARIA DE ESTADO  DE INFRAESTRUTURA E MOBILIDADE";"TRANSPORTES COLETIVOS URBANOS";880.453,18;803.332,59;803.332,59
"GESTAO AMBIENTAL";"INSTITUTO MINEIRO DE GESTAO DAS AGUAS";"RECURSOS HIDRICOS";43.771.823,96;31.900.671,70;8.451.230,40
"SEGURANCA PUBLICA";"FUNDO PENITENCIARIO ESTADUAL";"CUSTODIA E REINTEGRACAO SOCIAL";11.446.657,52;11.127.880,88;11.127.880,88
"ESSENCIAL A JUSTICA";"PROCURADORIA GERAL DE JUSTICA";"DEFESA DO INTERESSE PUBLICO NO PROCESSO JUDICIARIO";825.019.416,85;806.297.205,07;806.148.252,72
SAUDE;"INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS";"FORMACAO DE RECURSOS HUMANOS";11.614,78;11.614,78;12.138,78
EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"EDUCACAO ESPECIAL";470.913.553,40;470.888.761,61;471.600.197,91
AGRICULTURA;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO AGRARIO";"PLANEJAMENTO E ORCAMENTO";5.032,81;5.032,81;6.315,91
"GESTAO AMBIENTAL";"INSTITUTO MINEIRO DE GESTAO DAS AGUAS";"PRESERVACAO E CONSERVACAO AMBIENTAL";58.915,92;50.103,91;51.939,94
"GESTAO AMBIENTAL";"FUNDO DE RECUPERACAO, PROTECAO E DESENVOLVIMENTO SUSTENTAVEL DAS BACIAS HIDROGRAFICAS DO ESTADO DE M";"PRESERVACAO E CONSERVACAO AMBIENTAL";40.065,68;40.065,68;31.145,53
"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE SEGURANCA PUBLICA";"PROTECAO E BENEFICIOS AO TRABALHADOR";277.000,88;270.895,88;270.853,56
"GESTAO AMBIENTAL";"SECRETARIA DE ESTADO  DE INFRAESTRUTURA E MOBILIDADE";"INFRA-ESTRUTURA URBANA";1.992.918,89;0,00;0,00
SAUDE;"FUNDO ESTADUAL DE SAUDE";"INFRA-ESTRUTURA URBANA";1.439.994,00;1.439.994,00;1.439.994,00
SANEAMENTO;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO E INTEGRACAO DO NORTE E NORDESTE DE MINAS GERAIS";"SANEAMENTO BASICO URBANO";17.650.459,66;2.235.499,56;2.235.499,56
ADMINISTRACAO;"SECRETARIA DE ESTADO DE GOVERNO";"COMUNICACAO SOCIAL";11.491.202,95;10.616.185,08;10.495.228,49
"SEGURANCA PUBLICA";"POLICIA MILITAR DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";6.256.908.235,52;6.256.908.235,52;6.256.908.235,52
SAUDE;"FUNDO DE APOIO HABITACIONAL DA ASSEMBLEIA LEGISLATIVA DE MINAS GERAIS";"ASSISTENCIA HOSPITALAR E AMBULATORIAL";35.628.100,84;35.628.100,84;35.307.447,90
"SEGURANCA PUBLICA";"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"ASSISTENCIA HOSPITALAR E AMBULATORIAL";423.497,00;392.850,89;380.546,52
ADMINISTRACAO;"GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";7.723.263,79;7.247.330,15;6.281.923,01
ADMINISTRACAO;"SECRETARIA DE ESTADO DE ESPORTES";"ADMINISTRACAO GERAL";5.183.569,06;5.183.569,06;5.183.569,06
SAUDE;"ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";10.237.686,46;9.992.486,23;9.791.600,53
"DIREITOS DA CIDADANIA";"OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";6.306.674,10;6.306.674,10;6.306.674,10
"SEGURANCA PUBLICA";"GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";9.524.835,74;9.524.835,74;9.524.835,74
"SEGURANCA PUBLICA";"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";717.672.111,35;717.670.535,26;717.637.016,67
INDUSTRIA;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";MINERACAO;103.436,05;55.387,18;54.982,07
"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"CUSTODIA E REINTEGRACAO SOCIAL";1.915.110.869,63;1.792.831.612,05;1.710.943.799,17
"ESSENCIAL A JUSTICA";"DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS";"FORMACAO DE RECURSOS HUMANOS";209.814,84;209.164,84;210.737,19
EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"ALIMENTACAO E NUTRICAO";314.813.246,56;314.596.323,97;314.612.279,36
COMUNICACOES;"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO";TELECOMUNICACOES;2.379.103,28;1.482.492,12;1.479.842,41
SAUDE;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";"ENSINO PROFISSIONAL";20.474.366,35;20.474.366,35;20.474.366,35
"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"ENSINO PROFISSIONAL";71.400,85;59.400,85;59.986,55
AGRICULTURA;"EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS";"DESENVOLVIMENTO CIENTIFICO";11.765.741,23;11.765.741,23;11.765.741,23
SAUDE;"FUNDACAO EZEQUIEL DIAS";"DESENVOLVIMENTO CIENTIFICO";1.685.480,65;1.151.724,40;1.098.026,91
SAUDE;"ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS";"DESENVOLVIMENTO CIENTIFICO";21.785,72;21.477,30;21.803,58
URBANISMO;"DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS";"INFRA-ESTRUTURA URBANA";14.402.918,12;8.812.969,88;8.480.845,95
"DESPORTO E LAZER";"SECRETARIA DE ESTADO DE ESPORTES";"TECNOLOGIA DA INFORMACAO";92.718,66;92.718,66;92.718,66
"SEGURANCA PUBLICA";"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"TECNOLOGIA DA INFORMACAO";46.784.855,12;40.653.722,76;35.569.258,41
AGRICULTURA;"INSTITUTO MINEIRO DE AGROPECUARIA";"VIGILANCIA SANITARIA";1.311.198,49;1.259.511,90;1.268.175,95
"ENCARGOS ESPECIAIS";"FUNDACAO EZEQUIEL DIAS";"OUTROS ENCARGOS ESPECIAIS";23.364.926,19;23.259.948,53;23.225.947,92
"ENCARGOS ESPECIAIS";"INSTITUTO MINEIRO DE AGROPECUARIA";"OUTROS ENCARGOS ESPECIAIS";1.708.927,79;1.708.927,79;1.547.805,42
"ENCARGOS ESPECIAIS";"INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";70.332,22;70.332,22;63.229,07
"GESTAO AMBIENTAL";"FUNDACAO ESTADUAL DO MEIO AMBIENTE";"CONTROLE AMBIENTAL";18.529,51;17.675,27;18.475,27
"PREVIDENCIA SOCIAL";"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";396.578.194,29;396.578.194,29;396.578.194,29
ADMINISTRACAO;"CONTROLADORIA-GERAL DO ESTADO";"CONTROLE INTERNO";957.276,43;810.452,27;791.890,16
ADMINISTRACAO;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO E INTEGRACAO DO NORTE E NORDESTE DE MINAS GERAIS";"ADMINISTRACAO GERAL";646.693,61;646.693,61;641.354,25
EDUCACAO;"FUNDACAO EDUCACIONAL CAIO MARTINS";"ADMINISTRACAO GERAL";3.468.682,14;3.355.674,93;3.325.829,47
EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"ADMINISTRACAO GERAL";546.679.540,99;525.572.830,90;517.676.074,74
AGRICULTURA;"EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS";"EXTENSAO RURAL";35.015.860,92;35.015.860,92;35.015.860,92
"SEGURANCA PUBLICA";"FUNDO DE PAGAMENTO DE PARCERIAS PUBLICO-PRIVADAS DE MINAS GERAIS";"ADMINISTRACAO DE CONCESSOES";101.036.375,01;90.242.030,39;87.762.468,87
EDUCACAO;"FUNDACAO JOAO PINHEIRO";"ENSINO SUPERIOR";1.512.352,26;1.467.777,51;1.462.447,95
ADMINISTRACAO;"SECRETARIA DE ESTADO DE FAZENDA";"ADMINISTRACAO DE RECEITAS";25.104.317,36;21.814.310,00;19.923.193,96
"DIREITOS DA CIDADANIA";"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO";"REFORMA AGRARIA";678,50;678,50;678,50
HABITACAO;"FUNDO DE APOIO HABITACIONAL AOS MILITARES DO ESTADO DE MINAS GERAIS";"HABITACAO URBANA";295.362,00;283.496,80;283.496,80
EDUCACAO;"POLICIA MILITAR DO ESTADO DE MINAS GERAIS";"ENSINO MEDIO";38.791.222,96;38.517.474,14;37.903.994,50
SAUDE;"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS";149.967,97;149.967,97;149.967,97
SAUDE;"FUNDACAO EZEQUIEL DIAS";"SUPORTE PROFILATICO E TERAPEUTICO";462.237.574,52;223.182.874,48;78.534.438,82
SAUDE;"FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS";"SUPORTE PROFILATICO E TERAPEUTICO";2.129.563,05;1.113.754,01;597.549,03
EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"ENSINO FUNDAMENTAL";5.212.879.284,78;5.018.050.012,88;4.844.975.264,60
AGRICULTURA;"INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS";"PROMOCAO DA PRODUCAO AGROPECUARIA";4.883.455,44;2.043.101,49;1.912.241,94
ADMINISTRACAO;"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO";"TECNOLOGIA DA INFORMACAO";2.031.734,45;1.733.373,21;1.690.974,56
EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"EDUCACAO BASICA";24.274.937,92;21.129.685,80;21.076.057,63
"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"ASSISTENCIA A CRIANCA E AO ADOLESCENTE";42.821.429,31;34.442.205,70;31.367.363,23
"ENCARGOS ESPECIAIS";"INSTITUTO ESTADUAL DE FLORESTAS";"OUTROS ENCARGOS ESPECIAIS";396.721,48;379.750,80;360.032,20
ADMINISTRACAO;"FUNDACAO JOAO PINHEIRO";"ORDENAMENTO TERRITORIAL";26.502,18;26.502,18;26.541,61
"COMERCIO E SERVICOS";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"NORMATIZACAO E FISCALIZACAO";8.633.562,88;6.691.332,64;5.726.675,81
"PREVIDENCIA SOCIAL";"FUNDO FINANCEIRO DE PREVIDENCIA";"PREVIDENCIA DO REGIME ESTATUTARIO";13.358.865.166,79;13.358.702.183,88;13.358.702.183,88
